# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229389      0.18294297      0.18294297
    -13.62829349      0.18287624      0.18287624
    -13.62429309      0.18280635      0.18280635
    -13.62029269      0.18273328      0.18273328
    -13.61629229      0.18265699      0.18265699
    -13.61229189      0.18257748      0.18257748
    -13.60829149      0.18249471      0.18249471
    -13.60429109      0.18240868      0.18240868
    -13.60029069      0.18231936      0.18231936
    -13.59629029      0.18222672      0.18222672
    -13.59228989      0.18213076      0.18213076
    -13.58828949      0.18203145      0.18203145
    -13.58428909      0.18192878      0.18192878
    -13.58028869      0.18182274      0.18182274
    -13.57628829      0.18171329      0.18171329
    -13.57228789      0.18160044      0.18160044
    -13.56828749      0.18148417      0.18148417
    -13.56428709      0.18136445      0.18136445
    -13.56028669      0.18124129      0.18124129
    -13.55628629      0.18111466      0.18111466
    -13.55228589      0.18098456      0.18098456
    -13.54828549      0.18085097      0.18085097
    -13.54428509      0.18071388      0.18071388
    -13.54028469      0.18057329      0.18057329
    -13.53628429      0.18042919      0.18042919
    -13.53228389      0.18028156      0.18028156
    -13.52828349      0.18013041      0.18013041
    -13.52428309      0.17997572      0.17997572
    -13.52028269      0.17981748      0.17981748
    -13.51628229      0.17965571      0.17965571
    -13.51228189      0.17949038      0.17949038
    -13.50828149      0.17932150      0.17932150
    -13.50428109      0.17914906      0.17914906
    -13.50028069      0.17897306      0.17897306
    -13.49628029      0.17879351      0.17879351
    -13.49227989      0.17861040      0.17861040
    -13.48827949      0.17842373      0.17842373
    -13.48427909      0.17823351      0.17823351
    -13.48027869      0.17803974      0.17803974
    -13.47627829      0.17784242      0.17784242
    -13.47227789      0.17764155      0.17764155
    -13.46827749      0.17743714      0.17743714
    -13.46427709      0.17722921      0.17722921
    -13.46027669      0.17701774      0.17701774
    -13.45627629      0.17680276      0.17680276
    -13.45227589      0.17658427      0.17658427
    -13.44827549      0.17636228      0.17636228
    -13.44427509      0.17613680      0.17613680
    -13.44027469      0.17590784      0.17590784
    -13.43627429      0.17567542      0.17567542
    -13.43227389      0.17543955      0.17543955
    -13.42827349      0.17520023      0.17520023
    -13.42427309      0.17495750      0.17495750
    -13.42027269      0.17471136      0.17471136
    -13.41627229      0.17446183      0.17446183
    -13.41227189      0.17420893      0.17420893
    -13.40827149      0.17395268      0.17395268
    -13.40427109      0.17369309      0.17369309
    -13.40027069      0.17343019      0.17343019
    -13.39627029      0.17316400      0.17316400
    -13.39226989      0.17289454      0.17289454
    -13.38826949      0.17262183      0.17262183
    -13.38426909      0.17234590      0.17234590
    -13.38026869      0.17206678      0.17206678
    -13.37626829      0.17178448      0.17178448
    -13.37226789      0.17149904      0.17149904
    -13.36826749      0.17121049      0.17121049
    -13.36426709      0.17091884      0.17091884
    -13.36026669      0.17062414      0.17062414
    -13.35626629      0.17032641      0.17032641
    -13.35226589      0.17002569      0.17002569
    -13.34826549      0.16972200      0.16972200
    -13.34426509      0.16941538      0.16941538
    -13.34026469      0.16910586      0.16910586
    -13.33626429      0.16879347      0.16879347
    -13.33226389      0.16847827      0.16847827
    -13.32826349      0.16816027      0.16816027
    -13.32426309      0.16783951      0.16783951
    -13.32026269      0.16751604      0.16751604
    -13.31626229      0.16718990      0.16718990
    -13.31226189      0.16686111      0.16686111
    -13.30826149      0.16652973      0.16652973
    -13.30426109      0.16619580      0.16619580
    -13.30026069      0.16585935      0.16585935
    -13.29626029      0.16552043      0.16552043
    -13.29225989      0.16517909      0.16517909
    -13.28825949      0.16483536      0.16483536
    -13.28425909      0.16448930      0.16448930
    -13.28025869      0.16414094      0.16414094
    -13.27625829      0.16379034      0.16379034
    -13.27225789      0.16343755      0.16343755
    -13.26825749      0.16308260      0.16308260
    -13.26425709      0.16272556      0.16272556
    -13.26025669      0.16236647      0.16236647
    -13.25625629      0.16200537      0.16200537
    -13.25225589      0.16164233      0.16164233
    -13.24825549      0.16127738      0.16127738
    -13.24425509      0.16091060      0.16091060
    -13.24025469      0.16054202      0.16054202
    -13.23625429      0.16017170      0.16017170
    -13.23225389      0.15979969      0.15979969
    -13.22825349      0.15942605      0.15942605
    -13.22425309      0.15905084      0.15905084
    -13.22025269      0.15867411      0.15867411
    -13.21625229      0.15829592      0.15829592
    -13.21225189      0.15791632      0.15791632
    -13.20825149      0.15753537      0.15753537
    -13.20425109      0.15715313      0.15715313
    -13.20025069      0.15676966      0.15676966
    -13.19625029      0.15638501      0.15638501
    -13.19224989      0.15599925      0.15599925
    -13.18824949      0.15561244      0.15561244
    -13.18424909      0.15522463      0.15522463
    -13.18024869      0.15483589      0.15483589
    -13.17624829      0.15444628      0.15444628
    -13.17224789      0.15405585      0.15405585
    -13.16824749      0.15366468      0.15366468
    -13.16424709      0.15327283      0.15327283
    -13.16024669      0.15288035      0.15288035
    -13.15624629      0.15248731      0.15248731
    -13.15224589      0.15209377      0.15209377
    -13.14824549      0.15169980      0.15169980
    -13.14424509      0.15130546      0.15130546
    -13.14024469      0.15091082      0.15091082
    -13.13624429      0.15051593      0.15051593
    -13.13224389      0.15012087      0.15012087
    -13.12824349      0.14972570      0.14972570
    -13.12424309      0.14933048      0.14933048
    -13.12024269      0.14893529      0.14893529
    -13.11624229      0.14854017      0.14854017
    -13.11224189      0.14814521      0.14814521
    -13.10824149      0.14775047      0.14775047
    -13.10424109      0.14735600      0.14735600
    -13.10024069      0.14696189      0.14696189
    -13.09624029      0.14656819      0.14656819
    -13.09223989      0.14617497      0.14617497
    -13.08823949      0.14578230      0.14578230
    -13.08423909      0.14539024      0.14539024
    -13.08023869      0.14499886      0.14499886
    -13.07623829      0.14460822      0.14460822
    -13.07223789      0.14421840      0.14421840
    -13.06823749      0.14382945      0.14382945
    -13.06423709      0.14344145      0.14344145
    -13.06023669      0.14305446      0.14305446
    -13.05623629      0.14266855      0.14266855
    -13.05223589      0.14228378      0.14228378
    -13.04823549      0.14190021      0.14190021
    -13.04423509      0.14151792      0.14151792
    -13.04023469      0.14113697      0.14113697
    -13.03623429      0.14075743      0.14075743
    -13.03223389      0.14037935      0.14037935
    -13.02823349      0.14000281      0.14000281
    -13.02423309      0.13962787      0.13962787
    -13.02023269      0.13925460      0.13925460
    -13.01623229      0.13888305      0.13888305
    -13.01223189      0.13851329      0.13851329
    -13.00823149      0.13814539      0.13814539
    -13.00423109      0.13777941      0.13777941
    -13.00023069      0.13741541      0.13741541
    -12.99623029      0.13705346      0.13705346
    -12.99222989      0.13669361      0.13669361
    -12.98822949      0.13633593      0.13633593
    -12.98422909      0.13598049      0.13598049
    -12.98022869      0.13562734      0.13562734
    -12.97622829      0.13527654      0.13527654
    -12.97222789      0.13492815      0.13492815
    -12.96822749      0.13458224      0.13458224
    -12.96422709      0.13423886      0.13423886
    -12.96022669      0.13389807      0.13389807
    -12.95622629      0.13355994      0.13355994
    -12.95222589      0.13322451      0.13322451
    -12.94822549      0.13289185      0.13289185
    -12.94422509      0.13256201      0.13256201
    -12.94022469      0.13223506      0.13223506
    -12.93622429      0.13191104      0.13191104
    -12.93222389      0.13159001      0.13159001
    -12.92822349      0.13127202      0.13127202
    -12.92422309      0.13095714      0.13095714
    -12.92022269      0.13064540      0.13064540
    -12.91622229      0.13033688      0.13033688
    -12.91222189      0.13003161      0.13003161
    -12.90822149      0.12972966      0.12972966
    -12.90422109      0.12943106      0.12943106
    -12.90022069      0.12913588      0.12913588
    -12.89622029      0.12884416      0.12884416
    -12.89221989      0.12855594      0.12855594
    -12.88821949      0.12827129      0.12827129
    -12.88421909      0.12799024      0.12799024
    -12.88021869      0.12771284      0.12771284
    -12.87621828      0.12743914      0.12743914
    -12.87221788      0.12716919      0.12716919
    -12.86821748      0.12690302      0.12690302
    -12.86421708      0.12664069      0.12664069
    -12.86021668      0.12638222      0.12638222
    -12.85621628      0.12612768      0.12612768
    -12.85221588      0.12587709      0.12587709
    -12.84821548      0.12563050      0.12563050
