# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229401      0.19388912      0.19388912
    -13.62829361      0.19393615      0.19393615
    -13.62429321      0.19397526      0.19397526
    -13.62029281      0.19400636      0.19400636
    -13.61629241      0.19402935      0.19402935
    -13.61229201      0.19404414      0.19404414
    -13.60829161      0.19405065      0.19405065
    -13.60429121      0.19404879      0.19404879
    -13.60029081      0.19403849      0.19403849
    -13.59629041      0.19401968      0.19401968
    -13.59229001      0.19399230      0.19399230
    -13.58828961      0.19395629      0.19395629
    -13.58428921      0.19391160      0.19391160
    -13.58028881      0.19385818      0.19385818
    -13.57628841      0.19379599      0.19379599
    -13.57228801      0.19372499      0.19372499
    -13.56828761      0.19364516      0.19364516
    -13.56428721      0.19355647      0.19355647
    -13.56028681      0.19345889      0.19345889
    -13.55628641      0.19335243      0.19335243
    -13.55228601      0.19323707      0.19323707
    -13.54828561      0.19311280      0.19311280
    -13.54428521      0.19297964      0.19297964
    -13.54028481      0.19283760      0.19283760
    -13.53628441      0.19268668      0.19268668
    -13.53228401      0.19252691      0.19252691
    -13.52828361      0.19235831      0.19235831
    -13.52428321      0.19218093      0.19218093
    -13.52028281      0.19199478      0.19199478
    -13.51628241      0.19179993      0.19179993
    -13.51228201      0.19159641      0.19159641
    -13.50828161      0.19138427      0.19138427
    -13.50428121      0.19116358      0.19116358
    -13.50028081      0.19093440      0.19093440
    -13.49628041      0.19069680      0.19069680
    -13.49228001      0.19045084      0.19045084
    -13.48827961      0.19019661      0.19019661
    -13.48427921      0.18993418      0.18993418
    -13.48027881      0.18966365      0.18966365
    -13.47627841      0.18938511      0.18938511
    -13.47227801      0.18909864      0.18909864
    -13.46827761      0.18880435      0.18880435
    -13.46427721      0.18850235      0.18850235
    -13.46027681      0.18819273      0.18819273
    -13.45627641      0.18787561      0.18787561
    -13.45227601      0.18755111      0.18755111
    -13.44827561      0.18721934      0.18721934
    -13.44427521      0.18688042      0.18688042
    -13.44027481      0.18653448      0.18653448
    -13.43627441      0.18618165      0.18618165
    -13.43227401      0.18582205      0.18582205
    -13.42827361      0.18545581      0.18545581
    -13.42427321      0.18508308      0.18508308
    -13.42027281      0.18470399      0.18470399
    -13.41627241      0.18431868      0.18431868
    -13.41227201      0.18392729      0.18392729
    -13.40827161      0.18352997      0.18352997
    -13.40427121      0.18312686      0.18312686
    -13.40027081      0.18271810      0.18271810
    -13.39627041      0.18230386      0.18230386
    -13.39227001      0.18188426      0.18188426
    -13.38826961      0.18145948      0.18145948
    -13.38426921      0.18102965      0.18102965
    -13.38026881      0.18059494      0.18059494
    -13.37626841      0.18015548      0.18015548
    -13.37226801      0.17971145      0.17971145
    -13.36826761      0.17926298      0.17926298
    -13.36426721      0.17881023      0.17881023
    -13.36026681      0.17835336      0.17835336
    -13.35626641      0.17789251      0.17789251
    -13.35226601      0.17742785      0.17742785
    -13.34826561      0.17695952      0.17695952
    -13.34426521      0.17648767      0.17648767
    -13.34026481      0.17601245      0.17601245
    -13.33626441      0.17553402      0.17553402
    -13.33226401      0.17505251      0.17505251
    -13.32826361      0.17456808      0.17456808
    -13.32426321      0.17408087      0.17408087
