# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229392      0.19970435      0.19970435
    -13.62829352      0.20014843      0.20014843
    -13.62429312      0.20059296      0.20059296
    -13.62029272      0.20103752      0.20103752
    -13.61629232      0.20148167      0.20148167
    -13.61229192      0.20192494      0.20192494
    -13.60829152      0.20236685      0.20236685
    -13.60429112      0.20280691      0.20280691
    -13.60029072      0.20324460      0.20324460
    -13.59629032      0.20367940      0.20367940
    -13.59228992      0.20411075      0.20411075
    -13.58828952      0.20453810      0.20453810
    -13.58428912      0.20496086      0.20496086
    -13.58028872      0.20537846      0.20537846
    -13.57628832      0.20579028      0.20579028
    -13.57228792      0.20619571      0.20619571
    -13.56828752      0.20659412      0.20659412
    -13.56428712      0.20698488      0.20698488
    -13.56028672      0.20736733      0.20736733
    -13.55628631      0.20774084      0.20774084
    -13.55228591      0.20810473      0.20810473
    -13.54828551      0.20845833      0.20845833
    -13.54428511      0.20880099      0.20880099
    -13.54028471      0.20913202      0.20913202
    -13.53628431      0.20945075      0.20945075
    -13.53228391      0.20975651      0.20975651
    -13.52828351      0.21004862      0.21004862
    -13.52428311      0.21032641      0.21032641
    -13.52028271      0.21058922      0.21058922
    -13.51628231      0.21083638      0.21083638
    -13.51228191      0.21106725      0.21106725
    -13.50828151      0.21128118      0.21128118
    -13.50428111      0.21147753      0.21147753
    -13.50028071      0.21165570      0.21165570
    -13.49628031      0.21181506      0.21181506
    -13.49227991      0.21195503      0.21195503
    -13.48827951      0.21207505      0.21207505
    -13.48427911      0.21217454      0.21217454
    -13.48027871      0.21225298      0.21225298
    -13.47627831      0.21230985      0.21230985
    -13.47227791      0.21234466      0.21234466
    -13.46827751      0.21235695      0.21235695
    -13.46427711      0.21234628      0.21234628
    -13.46027671      0.21231222      0.21231222
    -13.45627631      0.21225441      0.21225441
    -13.45227591      0.21217247      0.21217247
    -13.44827551      0.21206608      0.21206608
    -13.44427511      0.21193495      0.21193495
    -13.44027471      0.21177882      0.21177882
    -13.43627431      0.21159745      0.21159745
    -13.43227391      0.21139066      0.21139066
    -13.42827351      0.21115827      0.21115827
    -13.42427311      0.21090017      0.21090017
    -13.42027271      0.21061626      0.21061626
    -13.41627231      0.21030648      0.21030648
    -13.41227191      0.20997083      0.20997083
    -13.40827151      0.20960931      0.20960931
    -13.40427111      0.20922198      0.20922198
    -13.40027071      0.20880894      0.20880894
    -13.39627031      0.20837030      0.20837030
    -13.39226991      0.20790623      0.20790623
    -13.38826951      0.20741692      0.20741692
    -13.38426911      0.20690262      0.20690262
    -13.38026871      0.20636358      0.20636358
    -13.37626831      0.20580010      0.20580010
    -13.37226791      0.20521253      0.20521253
    -13.36826751      0.20460122      0.20460122
    -13.36426711      0.20396658      0.20396658
    -13.36026671      0.20330903      0.20330903
    -13.35626631      0.20262903      0.20262903
    -13.35226591      0.20192707      0.20192707
    -13.34826551      0.20120365      0.20120365
    -13.34426511      0.20045931      0.20045931
    -13.34026471      0.19969463      0.19969463
    -13.33626431      0.19891017      0.19891017
    -13.33226391      0.19810655      0.19810655
    -13.32826351      0.19728439      0.19728439
    -13.32426311      0.19644434      0.19644434
    -13.32026271      0.19558706      0.19558706
    -13.31626231      0.19471322      0.19471322
    -13.31226191      0.19382351      0.19382351
    -13.30826151      0.19291864      0.19291864
    -13.30426111      0.19199931      0.19199931
    -13.30026071      0.19106625      0.19106625
    -13.29626031      0.19012018      0.19012018
    -13.29225991      0.18916184      0.18916184
    -13.28825951      0.18819195      0.18819195
    -13.28425911      0.18721127      0.18721127
    -13.28025871      0.18622052      0.18622052
    -13.27625831      0.18522045      0.18522045
    -13.27225791      0.18421178      0.18421178
    -13.26825751      0.18319526      0.18319526
    -13.26425711      0.18217160      0.18217160
    -13.26025671      0.18114152      0.18114152
    -13.25625631      0.18010574      0.18010574
    -13.25225591      0.17906495      0.17906495
    -13.24825551      0.17801986      0.17801986
    -13.24425511      0.17697112      0.17697112
    -13.24025471      0.17591942      0.17591942
    -13.23625431      0.17486540      0.17486540
    -13.23225391      0.17380969      0.17380969
    -13.22825351      0.17275293      0.17275293
    -13.22425311      0.17169572      0.17169572
    -13.22025271      0.17063863      0.17063863
    -13.21625231      0.16958225      0.16958225
    -13.21225191      0.16852713      0.16852713
    -13.20825151      0.16747379      0.16747379
    -13.20425111      0.16642275      0.16642275
    -13.20025071      0.16537449      0.16537449
    -13.19625031      0.16432950      0.16432950
    -13.19224991      0.16328823      0.16328823
    -13.18824951      0.16225110      0.16225110
    -13.18424911      0.16121852      0.16121852
    -13.18024871      0.16019088      0.16019088
    -13.17624831      0.15916856      0.15916856
    -13.17224791      0.15815189      0.15815189
    -13.16824751      0.15714121      0.15714121
    -13.16424711      0.15613681      0.15613681
    -13.16024671      0.15513900      0.15513900
    -13.15624631      0.15414802      0.15414802
    -13.15224591      0.15316412      0.15316412
    -13.14824551      0.15218754      0.15218754
    -13.14424511      0.15121847      0.15121847
    -13.14024471      0.15025710      0.15025710
    -13.13624431      0.14930361      0.14930361
    -13.13224391      0.14835814      0.14835814
    -13.12824351      0.14742083      0.14742083
    -13.12424311      0.14649179      0.14649179
    -13.12024271      0.14557114      0.14557114
    -13.11624231      0.14465894      0.14465894
    -13.11224191      0.14375528      0.14375528
    -13.10824151      0.14286021      0.14286021
    -13.10424111      0.14197377      0.14197377
    -13.10024071      0.14109599      0.14109599
    -13.09624031      0.14022689      0.14022689
    -13.09223991      0.13936647      0.13936647
    -13.08823951      0.13851472      0.13851472
    -13.08423911      0.13767163      0.13767163
    -13.08023871      0.13683717      0.13683717
    -13.07623831      0.13601130      0.13601130
    -13.07223791      0.13519397      0.13519397
    -13.06823751      0.13438514      0.13438514
    -13.06423711      0.13358473      0.13358473
    -13.06023671      0.13279268      0.13279268
    -13.05623631      0.13200892      0.13200892
    -13.05223591      0.13123335      0.13123335
    -13.04823551      0.13046590      0.13046590
    -13.04423511      0.12970647      0.12970647
    -13.04023471      0.12895497      0.12895497
    -13.03623431      0.12821129      0.12821129
    -13.03223391      0.12747532      0.12747532
    -13.02823351      0.12674697      0.12674697
    -13.02423311      0.12602612      0.12602612
    -13.02023271      0.12531265      0.12531265
    -13.01623231      0.12460646      0.12460646
    -13.01223191      0.12390743      0.12390743
    -13.00823151      0.12321544      0.12321544
    -13.00423111      0.12253038      0.12253038
    -13.00023071      0.12185212      0.12185212
    -12.99623031      0.12118055      0.12118055
    -12.99222991      0.12051555      0.12051555
    -12.98822951      0.11985700      0.11985700
    -12.98422911      0.11920479      0.11920479
    -12.98022871      0.11855881      0.11855881
    -12.97622831      0.11791892      0.11791892
    -12.97222791      0.11728504      0.11728504
    -12.96822751      0.11665703      0.11665703
    -12.96422711      0.11603479      0.11603479
    -12.96022671      0.11541822      0.11541822
    -12.95622631      0.11480721      0.11480721
    -12.95222591      0.11420166      0.11420166
    -12.94822551      0.11360146      0.11360146
    -12.94422511      0.11300652      0.11300652
    -12.94022471      0.11241674      0.11241674
    -12.93622431      0.11183203      0.11183203
    -12.93222391      0.11125230      0.11125230
    -12.92822351      0.11067746      0.11067746
    -12.92422311      0.11010744      0.11010744
    -12.92022271      0.10954215      0.10954215
    -12.91622231      0.10898152      0.10898152
    -12.91222191      0.10842547      0.10842547
    -12.90822151      0.10787393      0.10787393
    -12.90422111      0.10732685      0.10732685
    -12.90022071      0.10678415      0.10678415
    -12.89622031      0.10624579      0.10624579
    -12.89221991      0.10571171      0.10571171
    -12.88821951      0.10518187      0.10518187
    -12.88421911      0.10465621      0.10465621
    -12.88021871      0.10413470      0.10413470
    -12.87621831      0.10361730      0.10361730
    -12.87221791      0.10310399      0.10310399
    -12.86821751      0.10259473      0.10259473
    -12.86421711      0.10208951      0.10208951
