# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.05094892      0.05094892
    -19.99599960      0.05185502      0.05185502
    -19.99199920      0.05284278      0.05284278
    -19.98799880      0.05390869      0.05390869
    -19.98399840      0.05504923      0.05504923
    -19.97999800      0.05626083      0.05626083
    -19.97599760      0.05753991      0.05753991
    -19.97199720      0.05888286      0.05888286
    -19.96799680      0.06028603      0.06028603
    -19.96399640      0.06174573      0.06174573
    -19.95999600      0.06325827      0.06325827
    -19.95599560      0.06481990      0.06481990
    -19.95199520      0.06642685      0.06642685
    -19.94799480      0.06807533      0.06807533
    -19.94399440      0.06976149      0.06976149
    -19.93999400      0.07148148      0.07148148
    -19.93599360      0.07323142      0.07323142
    -19.93199320      0.07500739      0.07500739
    -19.92799280      0.07680546      0.07680546
    -19.92399240      0.07862168      0.07862168
    -19.91999200      0.08045209      0.08045209
    -19.91599160      0.08229269      0.08229269
    -19.91199120      0.08413952      0.08413952
    -19.90799080      0.08598857      0.08598857
    -19.90399040      0.08783585      0.08783585
    -19.89999000      0.08967739      0.08967739
    -19.89598960      0.09150920      0.09150920
    -19.89198920      0.09332735      0.09332735
    -19.88798880      0.09512790      0.09512790
    -19.88398840      0.09690696      0.09690696
    -19.87998800      0.09866067      0.09866067
    -19.87598760      0.10038522      0.10038522
    -19.87198720      0.10207685      0.10207685
    -19.86798680      0.10373187      0.10373187
    -19.86398640      0.10534665      0.10534665
    -19.85998600      0.10691763      0.10691763
    -19.85598560      0.10844136      0.10844136
    -19.85198520      0.10991445      0.10991445
    -19.84798480      0.11133363      0.11133363
    -19.84398440      0.11269574      0.11269574
    -19.83998400      0.11399773      0.11399773
    -19.83598360      0.11523666      0.11523666
    -19.83198320      0.11640974      0.11640974
    -19.82798280      0.11751433      0.11751433
    -19.82398240      0.11854789      0.11854789
    -19.81998200      0.11950809      0.11950809
    -19.81598160      0.12039270      0.12039270
    -19.81198120      0.12119970      0.12119970
    -19.80798080      0.12192722      0.12192722
    -19.80398040      0.12257355      0.12257355
    -19.79998000      0.12313720      0.12313720
    -19.79597960      0.12361682      0.12361682
    -19.79197920      0.12401128      0.12401128
    -19.78797880      0.12431961      0.12431961
    -19.78397840      0.12454106      0.12454106
    -19.77997800      0.12467504      0.12467504
    -19.77597760      0.12472120      0.12472120
    -19.77197720      0.12467934      0.12467934
    -19.76797680      0.12454949      0.12454949
    -19.76397640      0.12433184      0.12433184
    -19.75997600      0.12402682      0.12402682
    -19.75597560      0.12363500      0.12363500
    -19.75197520      0.12315717      0.12315717
    -19.74797480      0.12259431      0.12259431
    -19.74397440      0.12194754      0.12194754
    -19.73997400      0.12121821      0.12121821
    -19.73597360      0.12040780      0.12040780
    -19.73197320      0.11951798      0.11951798
    -19.72797280      0.11855058      0.11855058
    -19.72397240      0.11750756      0.11750756
    -19.71997200      0.11639104      0.11639104
    -19.71597160      0.11520330      0.11520330
    -19.71197120      0.11394671      0.11394671
    -19.70797080      0.11262380      0.11262380
    -19.70397040      0.11123719      0.11123719
    -19.69997000      0.10978961      0.10978961
    -19.69596960      0.10828389      0.10828389
    -19.69196920      0.10672294      0.10672294
    -19.68796880      0.10510977      0.10510977
    -19.68396840      0.10344742      0.10344742
    -19.67996800      0.10173902      0.10173902
    -19.67596760      0.09998772      0.09998772
    -19.67196720      0.09819673      0.09819673
    -19.66796680      0.09636929      0.09636929
    -19.66396640      0.09450863      0.09450863
    -19.65996600      0.09261802      0.09261802
    -19.65596560      0.09070072      0.09070072
    -19.65196520      0.08875997      0.08875997
    -19.64796480      0.08679901      0.08679901
    -19.64396440      0.08482104      0.08482104
    -19.63996400      0.08282921      0.08282921
    -19.63596360      0.08082667      0.08082667
    -19.63196320      0.07881647      0.07881647
    -19.62796280      0.07680163      0.07680163
    -19.62396240      0.07478511      0.07478511
