# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.19338609      0.19338609
    -19.99599960      0.19307511      0.19307511
    -19.99199920      0.19277850      0.19277850
    -19.98799880      0.19249750      0.19249750
    -19.98399840      0.19223328      0.19223328
    -19.97999800      0.19198699      0.19198699
    -19.97599760      0.19175969      0.19175969
    -19.97199720      0.19155240      0.19155240
    -19.96799680      0.19136609      0.19136609
    -19.96399640      0.19120164      0.19120164
    -19.95999600      0.19105988      0.19105988
    -19.95599560      0.19094156      0.19094156
    -19.95199520      0.19084738      0.19084738
    -19.94799480      0.19077796      0.19077796
    -19.94399440      0.19073382      0.19073382
    -19.93999400      0.19071543      0.19071543
    -19.93599360      0.19072318      0.19072318
    -19.93199320      0.19075739      0.19075739
    -19.92799280      0.19081826      0.19081826
    -19.92399240      0.19090597      0.19090597
    -19.91999200      0.19102056      0.19102056
    -19.91599160      0.19116203      0.19116203
    -19.91199120      0.19133029      0.19133029
    -19.90799080      0.19152514      0.19152514
    -19.90399040      0.19174634      0.19174634
    -19.89999000      0.19199354      0.19199354
    -19.89598960      0.19226632      0.19226632
    -19.89198920      0.19256418      0.19256418
    -19.88798880      0.19288653      0.19288653
    -19.88398840      0.19323273      0.19323273
    -19.87998800      0.19360202      0.19360202
    -19.87598760      0.19399361      0.19399361
    -19.87198720      0.19440661      0.19440661
    -19.86798680      0.19484006      0.19484006
    -19.86398640      0.19529293      0.19529293
    -19.85998600      0.19576412      0.19576412
    -19.85598560      0.19625249      0.19625249
    -19.85198520      0.19675679      0.19675679
    -19.84798480      0.19727574      0.19727574
    -19.84398440      0.19780801      0.19780801
    -19.83998400      0.19835218      0.19835218
    -19.83598360      0.19890681      0.19890681
    -19.83198320      0.19947038      0.19947038
    -19.82798280      0.20004136      0.20004136
    -19.82398240      0.20061814      0.20061814
    -19.81998200      0.20119908      0.20119908
    -19.81598160      0.20178252      0.20178252
    -19.81198120      0.20236675      0.20236675
    -19.80798080      0.20295002      0.20295002
    -19.80398040      0.20353057      0.20353057
    -19.79998000      0.20410661      0.20410661
    -19.79597960      0.20467634      0.20467634
    -19.79197920      0.20523793      0.20523793
    -19.78797880      0.20578953      0.20578953
    -19.78397840      0.20632931      0.20632931
    -19.77997800      0.20685540      0.20685540
    -19.77597760      0.20736596      0.20736596
    -19.77197720      0.20785914      0.20785914
    -19.76797680      0.20833308      0.20833308
    -19.76397640      0.20878596      0.20878596
    -19.75997600      0.20921595      0.20921595
    -19.75597560      0.20962124      0.20962124
    -19.75197520      0.21000006      0.21000006
    -19.74797480      0.21035064      0.21035064
    -19.74397440      0.21067126      0.21067126
    -19.73997400      0.21096022      0.21096022
    -19.73597360      0.21121586      0.21121586
    -19.73197320      0.21143655      0.21143655
    -19.72797280      0.21162072      0.21162072
    -19.72397240      0.21176683      0.21176683
    -19.71997200      0.21187340      0.21187340
    -19.71597160      0.21193901      0.21193901
    -19.71197120      0.21196228      0.21196228
    -19.70797080      0.21194189      0.21194189
    -19.70397040      0.21187660      0.21187660
    -19.69997000      0.21176523      0.21176523
    -19.69596960      0.21160665      0.21160665
    -19.69196920      0.21139983      0.21139983
    -19.68796880      0.21114380      0.21114380
    -19.68396840      0.21083766      0.21083766
    -19.67996800      0.21048061      0.21048061
    -19.67596760      0.21007190      0.21007190
    -19.67196720      0.20961091      0.20961091
    -19.66796680      0.20909707      0.20909707
    -19.66396640      0.20852990      0.20852990
    -19.65996600      0.20790904      0.20790904
    -19.65596560      0.20723419      0.20723419
    -19.65196520      0.20650517      0.20650517
    -19.64796480      0.20572187      0.20572187
    -19.64396440      0.20488429      0.20488429
    -19.63996400      0.20399254      0.20399254
    -19.63596360      0.20304681      0.20304681
    -19.63196320      0.20204740      0.20204740
    -19.62796280      0.20099471      0.20099471
    -19.62396240      0.19988923      0.19988923
    -19.61996200      0.19873157      0.19873157
    -19.61596160      0.19752244      0.19752244
    -19.61196120      0.19626263      0.19626263
    -19.60796080      0.19495305      0.19495305
    -19.60396040      0.19359471      0.19359471
