# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229402      0.19970434      0.19970434
    -13.62829362      0.20014842      0.20014842
    -13.62429322      0.20059294      0.20059294
    -13.62029282      0.20103750      0.20103750
    -13.61629242      0.20148163      0.20148163
    -13.61229202      0.20192490      0.20192490
    -13.60829162      0.20236680      0.20236680
    -13.60429122      0.20280686      0.20280686
    -13.60029082      0.20324455      0.20324455
    -13.59629042      0.20367934      0.20367934
    -13.59229002      0.20411069      0.20411069
    -13.58828962      0.20453804      0.20453804
    -13.58428922      0.20496080      0.20496080
    -13.58028882      0.20537840      0.20537840
    -13.57628842      0.20579022      0.20579022
    -13.57228802      0.20619565      0.20619565
    -13.56828762      0.20659407      0.20659407
    -13.56428722      0.20698483      0.20698483
    -13.56028682      0.20736729      0.20736729
    -13.55628642      0.20774080      0.20774080
    -13.55228602      0.20810469      0.20810469
    -13.54828562      0.20845831      0.20845831
    -13.54428522      0.20880097      0.20880097
    -13.54028482      0.20913201      0.20913201
    -13.53628442      0.20945075      0.20945075
    -13.53228402      0.20975651      0.20975651
    -13.52828362      0.21004863      0.21004863
    -13.52428322      0.21032643      0.21032643
    -13.52028282      0.21058924      0.21058924
    -13.51628242      0.21083641      0.21083641
    -13.51228202      0.21106729      0.21106729
    -13.50828162      0.21128122      0.21128122
    -13.50428122      0.21147758      0.21147758
    -13.50028082      0.21165574      0.21165574
    -13.49628042      0.21181511      0.21181511
    -13.49228002      0.21195508      0.21195508
    -13.48827962      0.21207509      0.21207509
    -13.48427922      0.21217459      0.21217459
    -13.48027882      0.21225302      0.21225302
    -13.47627842      0.21230989      0.21230989
    -13.47227802      0.21234470      0.21234470
    -13.46827762      0.21235699      0.21235699
    -13.46427722      0.21234631      0.21234631
    -13.46027682      0.21231225      0.21231225
    -13.45627642      0.21225442      0.21225442
    -13.45227602      0.21217248      0.21217248
    -13.44827562      0.21206608      0.21206608
    -13.44427522      0.21193495      0.21193495
    -13.44027482      0.21177881      0.21177881
    -13.43627442      0.21159743      0.21159743
    -13.43227402      0.21139063      0.21139063
    -13.42827362      0.21115824      0.21115824
    -13.42427322      0.21090013      0.21090013
    -13.42027282      0.21061622      0.21061622
    -13.41627242      0.21030644      0.21030644
    -13.41227202      0.20997079      0.20997079
    -13.40827162      0.20960927      0.20960927
    -13.40427122      0.20922194      0.20922194
    -13.40027082      0.20880890      0.20880890
    -13.39627042      0.20837026      0.20837026
    -13.39227002      0.20790619      0.20790619
    -13.38826962      0.20741689      0.20741689
    -13.38426922      0.20690259      0.20690259
    -13.38026881      0.20636355      0.20636355
    -13.37626841      0.20580009      0.20580009
    -13.37226801      0.20521252      0.20521252
    -13.36826761      0.20460122      0.20460122
    -13.36426721      0.20396659      0.20396659
    -13.36026681      0.20330905      0.20330905
    -13.35626641      0.20262906      0.20262906
    -13.35226601      0.20192710      0.20192710
    -13.34826561      0.20120369      0.20120369
    -13.34426521      0.20045936      0.20045936
    -13.34026481      0.19969468      0.19969468
    -13.33626441      0.19891023      0.19891023
    -13.33226401      0.19810662      0.19810662
    -13.32826361      0.19728447      0.19728447
    -13.32426321      0.19644442      0.19644442
    -13.32026281      0.19558714      0.19558714
    -13.31626241      0.19471330      0.19471330
    -13.31226201      0.19382360      0.19382360
    -13.30826161      0.19291873      0.19291873
    -13.30426121      0.19199940      0.19199940
    -13.30026081      0.19106633      0.19106633
    -13.29626041      0.19012026      0.19012026
    -13.29226001      0.18916191      0.18916191
    -13.28825961      0.18819202      0.18819202
    -13.28425921      0.18721133      0.18721133
    -13.28025881      0.18622057      0.18622057
    -13.27625841      0.18522049      0.18522049
    -13.27225801      0.18421182      0.18421182
    -13.26825761      0.18319529      0.18319529
    -13.26425721      0.18217162      0.18217162
    -13.26025681      0.18114154      0.18114154
    -13.25625641      0.18010575      0.18010575
    -13.25225601      0.17906496      0.17906496
    -13.24825561      0.17801985      0.17801985
    -13.24425521      0.17697111      0.17697111
    -13.24025481      0.17591940      0.17591940
    -13.23625441      0.17486537      0.17486537
    -13.23225401      0.17380967      0.17380967
    -13.22825361      0.17275290      0.17275290
    -13.22425321      0.17169569      0.17169569
    -13.22025281      0.17063861      0.17063861
    -13.21625241      0.16958223      0.16958223
    -13.21225201      0.16852710      0.16852710
    -13.20825161      0.16747377      0.16747377
    -13.20425121      0.16642273      0.16642273
    -13.20025081      0.16537448      0.16537448
    -13.19625041      0.16432950      0.16432950
    -13.19225001      0.16328823      0.16328823
    -13.18824961      0.16225110      0.16225110
    -13.18424921      0.16121853      0.16121853
    -13.18024881      0.16019090      0.16019090
    -13.17624841      0.15916859      0.15916859
    -13.17224801      0.15815193      0.15815193
    -13.16824761      0.15714125      0.15714125
    -13.16424721      0.15613687      0.15613687
    -13.16024681      0.15513906      0.15513906
    -13.15624641      0.15414808      0.15414808
    -13.15224601      0.15316419      0.15316419
    -13.14824561      0.15218761      0.15218761
    -13.14424521      0.15121855      0.15121855
    -13.14024481      0.15025718      0.15025718
    -13.13624441      0.14930369      0.14930369
    -13.13224401      0.14835823      0.14835823
    -13.12824361      0.14742092      0.14742092
    -13.12424321      0.14649188      0.14649188
    -13.12024281      0.14557122      0.14557122
    -13.11624241      0.14465902      0.14465902
    -13.11224201      0.14375536      0.14375536
    -13.10824161      0.14286028      0.14286028
    -13.10424121      0.14197383      0.14197383
    -13.10024081      0.14109605      0.14109605
    -13.09624041      0.14022694      0.14022694
    -13.09224001      0.13936651      0.13936651
    -13.08823961      0.13851475      0.13851475
    -13.08423921      0.13767165      0.13767165
    -13.08023881      0.13683718      0.13683718
    -13.07623841      0.13601130      0.13601130
    -13.07223801      0.13519397      0.13519397
    -13.06823761      0.13438513      0.13438513
    -13.06423721      0.13358472      0.13358472
    -13.06023681      0.13279266      0.13279266
    -13.05623641      0.13200889      0.13200889
    -13.05223601      0.13123332      0.13123332
    -13.04823561      0.13046587      0.13046587
    -13.04423521      0.12970644      0.12970644
    -13.04023481      0.12895493      0.12895493
    -13.03623441      0.12821125      0.12821125
    -13.03223401      0.12747529      0.12747529
    -13.02823361      0.12674694      0.12674694
    -13.02423321      0.12602609      0.12602609
    -13.02023281      0.12531263      0.12531263
    -13.01623241      0.12460644      0.12460644
    -13.01223201      0.12390742      0.12390742
    -13.00823161      0.12321544      0.12321544
    -13.00423121      0.12253038      0.12253038
    -13.00023081      0.12185213      0.12185213
    -12.99623041      0.12118056      0.12118056
    -12.99223001      0.12051557      0.12051557
    -12.98822961      0.11985703      0.11985703
    -12.98422921      0.11920483      0.11920483
    -12.98022881      0.11855885      0.11855885
    -12.97622841      0.11791898      0.11791898
    -12.97222801      0.11728509      0.11728509
    -12.96822761      0.11665709      0.11665709
    -12.96422721      0.11603486      0.11603486
    -12.96022681      0.11541829      0.11541829
    -12.95622641      0.11480728      0.11480728
    -12.95222601      0.11420173      0.11420173
    -12.94822561      0.11360153      0.11360153
    -12.94422521      0.11300659      0.11300659
    -12.94022481      0.11241681      0.11241681
    -12.93622441      0.11183209      0.11183209
    -12.93222401      0.11125236      0.11125236
    -12.92822361      0.11067752      0.11067752
    -12.92422321      0.11010749      0.11010749
