# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229372      0.14639071      0.14639071
    -13.62829332      0.14651209      0.14651209
    -13.62429292      0.14662639      0.14662639
    -13.62029252      0.14673655      0.14673655
    -13.61629212      0.14684561      0.14684561
    -13.61229172      0.14695675      0.14695675
    -13.60829132      0.14707324      0.14707324
    -13.60429092      0.14719845      0.14719845
    -13.60029052      0.14733582      0.14733582
    -13.59629012      0.14748885      0.14748885
    -13.59228972      0.14766108      0.14766108
    -13.58828932      0.14785610      0.14785610
    -13.58428892      0.14807751      0.14807751
    -13.58028852      0.14832891      0.14832891
    -13.57628812      0.14861390      0.14861390
    -13.57228772      0.14893604      0.14893604
    -13.56828732      0.14929887      0.14929887
    -13.56428692      0.14970584      0.14970584
    -13.56028652      0.15016037      0.15016037
    -13.55628611      0.15066577      0.15066577
    -13.55228571      0.15122527      0.15122527
    -13.54828531      0.15184196      0.15184196
    -13.54428491      0.15251882      0.15251882
    -13.54028451      0.15325872      0.15325872
    -13.53628411      0.15406432      0.15406432
    -13.53228371      0.15493818      0.15493818
    -13.52828331      0.15588263      0.15588263
    -13.52428291      0.15689985      0.15689985
    -13.52028251      0.15799182      0.15799182
    -13.51628211      0.15916031      0.15916031
    -13.51228171      0.16040686      0.16040686
    -13.50828131      0.16173282      0.16173282
    -13.50428091      0.16313929      0.16313929
    -13.50028051      0.16462714      0.16462714
    -13.49628011      0.16619698      0.16619698
    -13.49227971      0.16784921      0.16784921
    -13.48827931      0.16958394      0.16958394
    -13.48427891      0.17140104      0.17140104
    -13.48027851      0.17330013      0.17330013
    -13.47627811      0.17528056      0.17528056
    -13.47227771      0.17734141      0.17734141
    -13.46827731      0.17948152      0.17948152
    -13.46427691      0.18169945      0.18169945
    -13.46027651      0.18399351      0.18399351
    -13.45627611      0.18636174      0.18636174
    -13.45227571      0.18880193      0.18880193
    -13.44827531      0.19131164      0.19131164
    -13.44427491      0.19388814      0.19388814
    -13.44027451      0.19652850      0.19652850
    -13.43627411      0.19922952      0.19922952
    -13.43227371      0.20198778      0.20198778
    -13.42827331      0.20479966      0.20479966
    -13.42427291      0.20766129      0.20766129
    -13.42027251      0.21056861      0.21056861
    -13.41627211      0.21351737      0.21351737
    -13.41227171      0.21650310      0.21650310
    -13.40827131      0.21952119      0.21952119
    -13.40427091      0.22256684      0.22256684
    -13.40027051      0.22563509      0.22563509
    -13.39627011      0.22872086      0.22872086
    -13.39226971      0.23181890      0.23181890
    -13.38826931      0.23492386      0.23492386
    -13.38426891      0.23803029      0.23803029
    -13.38026851      0.24113261      0.24113261
    -13.37626811      0.24422520      0.24422520
    -13.37226771      0.24730234      0.24730234
    -13.36826731      0.25035826      0.25035826
    -13.36426691      0.25338715      0.25338715
    -13.36026651      0.25638318      0.25638318
    -13.35626611      0.25934050      0.25934050
    -13.35226571      0.26225325      0.26225325
    -13.34826531      0.26511560      0.26511560
    -13.34426491      0.26792173      0.26792173
    -13.34026451      0.27066587      0.27066587
    -13.33626411      0.27334232      0.27334232
    -13.33226371      0.27594544      0.27594544
    -13.32826331      0.27846966      0.27846966
