# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.24042673      0.24042673
    -19.99599960      0.22229591      0.22229591
    -19.99199920      0.20422189      0.20422189
    -19.98799880      0.18642164      0.18642164
    -19.98399840      0.16908900      0.16908900
    -19.97999800      0.15239200      0.15239200
    -19.97599760      0.13647118      0.13647118
    -19.97199720      0.12143902      0.12143902
    -19.96799680      0.10738019      0.10738019
    -19.96399640      0.09435269      0.09435269
    -19.95999600      0.08238964      0.08238964
    -19.95599560      0.07150166      0.07150166
    -19.95199520      0.06167966      0.06167966
    -19.94799480      0.05289782      0.05289782
    -19.94399440      0.04511681      0.04511681
    -19.93999400      0.03828689      0.03828689
    -19.93599360      0.03235096      0.03235096
    -19.93199320      0.02724740      0.02724740
    -19.92799280      0.02291264      0.02291264
    -19.92399240      0.01928341      0.01928341
    -19.91999200      0.01629865      0.01629865
    -19.91599160      0.01390102      0.01390102
    -19.91199120      0.01203815      0.01203815
    -19.90799080      0.01066343      0.01066343
    -19.90399040      0.00973652      0.00973652
    -19.89999000      0.00922364      0.00922364
    -19.89598960      0.00909743      0.00909743
    -19.89198920      0.00933674      0.00933674
    -19.88798880      0.00992611      0.00992611
    -19.88398840      0.01085517      0.01085517
    -19.87998800      0.01211780      0.01211780
    -19.87598760      0.01371132      0.01371132
    -19.87198720      0.01563556      0.01563556
    -19.86798680      0.01789186      0.01789186
    -19.86398640      0.02048221      0.02048221
    -19.85998600      0.02340827      0.02340827
    -19.85598560      0.02667065      0.02667065
    -19.85198520      0.03026818      0.03026818
    -19.84798480      0.03419742      0.03419742
    -19.84398440      0.03845229      0.03845229
    -19.83998400      0.04302399      0.04302399
    -19.83598360      0.04790110      0.04790110
    -19.83198320      0.05306995      0.05306995
    -19.82798280      0.05851522      0.05851522
    -19.82398240      0.06422078      0.06422078
    -19.81998200      0.07017069      0.07017069
    -19.81598160      0.07635043      0.07635043
    -19.81198120      0.08274810      0.08274810
    -19.80798080      0.08935571      0.08935571
    -19.80398040      0.09617042      0.09617042
    -19.79998000      0.10319549      0.10319549
    -19.79597960      0.11044110      0.11044110
    -19.79197920      0.11792476      0.11792476
    -19.78797880      0.12567123      0.12567123
    -19.78397840      0.13371201      0.13371201
    -19.77997800      0.14208425      0.14208425
    -19.77597760      0.15082906      0.15082906
    -19.77197720      0.15998936      0.15998936
    -19.76797680      0.16960712      0.16960712
    -19.76397640      0.17972030      0.17972030
    -19.75997600      0.19035944      0.19035944
    -19.75597560      0.20154419      0.20154419
    -19.75197520      0.21327985      0.21327985
    -19.74797480      0.22555424      0.22555424
    -19.74397440      0.23833499      0.23833499
    -19.73997400      0.25156754      0.25156754
    -19.73597360      0.26517401      0.26517401
    -19.73197320      0.27905310      0.27905310
    -19.72797280      0.29308111      0.29308111
    -19.72397240      0.30711419      0.30711419
    -19.71997200      0.32099177      0.32099177
    -19.71597160      0.33454116      0.33454116
    -19.71197120      0.34758314      0.34758314
    -19.70797080      0.35993841      0.35993841
    -19.70397040      0.37143462      0.37143462
    -19.69997000      0.38191362      0.38191362
    -19.69596960      0.39123874      0.39123874
    -19.69196920      0.39930161      0.39930161
    -19.68796880      0.40602833      0.40602833
    -19.68396840      0.41138444      0.41138444
    -19.67996800      0.41537862      0.41537862
    -19.67596760      0.41806472      0.41806472
    -19.67196720      0.41954204      0.41954204
    -19.66796680      0.41995371      0.41995371
    -19.66396640      0.41948309      0.41948309
    -19.65996600      0.41834846      0.41834846
    -19.65596560      0.41679593      0.41679593
    -19.65196520      0.41509095      0.41509095
    -19.64796480      0.41350868      0.41350868
    -19.64396440      0.41232358      0.41232358
    -19.63996400      0.41179869      0.41179869
    -19.63596360      0.41217494      0.41217494
    -19.63196320      0.41366101      0.41366101
    -19.62796280      0.41642407      0.41642407
    -19.62396240      0.42058197      0.42058197
    -19.61996200      0.42619696      0.42619696
    -19.61596160      0.43327147      0.43327147
    -19.61196120      0.44174599      0.44174599
    -19.60796080      0.45149921      0.45149921
    -19.60396040      0.46235048      0.46235048
    -19.59996000      0.47406445      0.47406445
    -19.59595960      0.48635774      0.48635774
    -19.59195920      0.49890754      0.49890754
    -19.58795880      0.51136152      0.51136152
    -19.58395840      0.52334903      0.52334903
    -19.57995800      0.53449291      0.53449291
    -19.57595760      0.54442153      0.54442153
    -19.57195720      0.55278072      0.55278072
    -19.56795680      0.55924495      0.55924495
    -19.56395640      0.56352750      0.56352750
    -19.55995600      0.56538923      0.56538923
    -19.55595560      0.56464559      0.56464559
    -19.55195520      0.56117169      0.56117169
    -19.54795480      0.55490533      0.55490533
    -19.54395440      0.54584780      0.54584780
    -19.53995400      0.53406265      0.53406265
    -19.53595360      0.51967247      0.51967247
    -19.53195320      0.50285381      0.50285381
    -19.52795280      0.48383068      0.48383068
    -19.52395240      0.46286670      0.46286670
    -19.51995200      0.44025645      0.44025645
    -19.51595160      0.41631631      0.41631631
    -19.51195120      0.39137512      0.39137512
    -19.50795080      0.36576499      0.36576499
    -19.50395040      0.33981273      0.33981273
    -19.49994999      0.31383190      0.31383190
    -19.49594959      0.28811604      0.28811604
    -19.49194919      0.26293289      0.26293289
    -19.48794879      0.23851998      0.23851998
    -19.48394839      0.21508152      0.21508152
    -19.47994799      0.19278650      0.19278650
    -19.47594759      0.17176813      0.17176813
    -19.47194719      0.15212434      0.15212434
    -19.46794679      0.13391922      0.13391922
    -19.46394639      0.11718537      0.11718537
    -19.45994599      0.10192684      0.10192684
    -19.45594559      0.08812252      0.08812252
    -19.45194519      0.07572982      0.07572982
    -19.44794479      0.06468854      0.06468854
    -19.44394439      0.05492458      0.05492458
    -19.43994399      0.04635363      0.04635363
    -19.43594359      0.03888454      0.03888454
    -19.43194319      0.03242239      0.03242239
    -19.42794279      0.02687116      0.02687116
    -19.42394239      0.02213602      0.02213602
    -19.41994199      0.01812521      0.01812521
    -19.41594159      0.01475146      0.01475146
    -19.41194119      0.01193312      0.01193312
    -19.40794079      0.00959485      0.00959485
    -19.40394039      0.00766807      0.00766807
    -19.39993999      0.00609109      0.00609109
    -19.39593959      0.00480910      0.00480910
    -19.39193919      0.00377390      0.00377390
    -19.38793879      0.00294356      0.00294356
    -19.38393839      0.00228196      0.00228196
    -19.37993799      0.00175831      0.00175831
    -19.37593759      0.00134658      0.00134658
    -19.37193719      0.00102498      0.00102498
    -19.36793679      0.00077543      0.00077543
    -19.36393639      0.00058306      0.00058306
    -19.35993599      0.00043574      0.00043574
    -19.35593559      0.00032365      0.00032365
    -19.35193519      0.00023892      0.00023892
    -19.34793479      0.00017530      0.00017530
    -19.34393439      0.00012783      0.00012783
    -19.33993399      0.00009264      0.00009264
    -19.33593359      0.00006673      0.00006673
    -19.33193319      0.00004777      0.00004777
    -19.32793279      0.00003398      0.00003398
    -19.32393239      0.00002403      0.00002403
    -19.31993199      0.00001689      0.00001689
    -19.31593159      0.00001179      0.00001179
    -19.31193119      0.00000819      0.00000819
    -19.30793079      0.00000565      0.00000565
    -19.30393039      0.00000387      0.00000387
    -19.29992999      0.00000264      0.00000264
    -19.29592959      0.00000179      0.00000179
    -19.29192919      0.00000120      0.00000120
    -19.28792879      0.00000080      0.00000080
    -19.28392839      0.00000053      0.00000053
    -19.27992799      0.00000035      0.00000035
    -19.27592759      0.00000023      0.00000023
    -19.27192719      0.00000015      0.00000015
    -19.26792679      0.00000010      0.00000010
    -19.26392639      0.00000006      0.00000006
    -19.25992599      0.00000004      0.00000004
    -19.25592559      0.00000003      0.00000003
    -19.25192519      0.00000002      0.00000002
    -19.24792479      0.00000001      0.00000001
    -19.24392439      0.00000001      0.00000001
    -19.23992399      0.00000000      0.00000000
    -19.23592359      0.00000000      0.00000000
    -19.23192319      0.00000000      0.00000000
    -19.22792279      0.00000000      0.00000000
    -19.22392239      0.00000000      0.00000000
    -19.21992199      0.00000000      0.00000000
    -19.21592159      0.00000000      0.00000000
    -19.21192119      0.00000000      0.00000000
    -19.20792079      0.00000000      0.00000000
    -19.20392039      0.00000000      0.00000000
    -19.19991999      0.00000000      0.00000000
    -19.19591959      0.00000000      0.00000000
    -19.19191919      0.00000000      0.00000000
    -19.18791879      0.00000000      0.00000000
    -19.18391839      0.00000000      0.00000000
    -19.17991799      0.00000000      0.00000000
    -19.17591759      0.00000000      0.00000000
    -19.17191719      0.00000000      0.00000000
    -19.16791679      0.00000000      0.00000000
    -19.16391639      0.00000000      0.00000000
    -19.15991599      0.00000000      0.00000000
    -19.15591559      0.00000000      0.00000000
    -19.15191519      0.00000000      0.00000000
    -19.14791479      0.00000000      0.00000000
    -19.14391439      0.00000000      0.00000000
    -19.13991399      0.00000000      0.00000000
    -19.13591359      0.00000000      0.00000000
    -19.13191319      0.00000000      0.00000000
    -19.12791279      0.00000000      0.00000000
    -19.12391239      0.00000000      0.00000000
    -19.11991199      0.00000001      0.00000001
    -19.11591159      0.00000001      0.00000001
    -19.11191119      0.00000002      0.00000002
    -19.10791079      0.00000003      0.00000003
    -19.10391039      0.00000004      0.00000004
    -19.09990999      0.00000006      0.00000006
    -19.09590959      0.00000010      0.00000010
    -19.09190919      0.00000015      0.00000015
    -19.08790879      0.00000023      0.00000023
    -19.08390839      0.00000034      0.00000034
    -19.07990799      0.00000051      0.00000051
    -19.07590759      0.00000077      0.00000077
    -19.07190719      0.00000114      0.00000114
    -19.06790679      0.00000168      0.00000168
    -19.06390639      0.00000247      0.00000247
    -19.05990599      0.00000359      0.00000359
    -19.05590559      0.00000520      0.00000520
    -19.05190519      0.00000747      0.00000747
    -19.04790479      0.00001068      0.00001068
    -19.04390439      0.00001516      0.00001516
    -19.03990399      0.00002139      0.00002139
    -19.03590359      0.00002999      0.00002999
    -19.03190319      0.00004177      0.00004177
    -19.02790279      0.00005781      0.00005781
    -19.02390239      0.00007949      0.00007949
    -19.01990199      0.00010862      0.00010862
    -19.01590159      0.00014748      0.00014748
    -19.01190119      0.00019896      0.00019896
    -19.00790079      0.00026669      0.00026669
    -19.00390039      0.00035522      0.00035522
    -18.99989999      0.00047013      0.00047013
    -18.99589959      0.00061824      0.00061824
    -18.99189919      0.00080785      0.00080785
    -18.98789879      0.00104890      0.00104890
    -18.98389839      0.00135323      0.00135323
    -18.97989799      0.00173478      0.00173478
    -18.97589759      0.00220979      0.00220979
    -18.97189719      0.00279702      0.00279702
    -18.96789679      0.00351787      0.00351787
    -18.96389639      0.00439649      0.00439649
    -18.95989599      0.00545980      0.00545980
    -18.95589559      0.00673743      0.00673743
    -18.95189519      0.00826155      0.00826155
    -18.94789479      0.01006661      0.01006661
    -18.94389439      0.01218882      0.01218882
    -18.93989399      0.01466567      0.01466567
    -18.93589359      0.01753512      0.01753512
    -18.93189319      0.02083468      0.02083468
    -18.92789279      0.02460041      0.02460041
    -18.92389239      0.02886568      0.02886568
    -18.91989199      0.03365984      0.03365984
    -18.91589159      0.03900687      0.03900687
    -18.91189119      0.04492394      0.04492394
    -18.90789079      0.05141998      0.05141998
    -18.90389039      0.05849437      0.05849437
    -18.89988999      0.06613572      0.06613572
    -18.89588959      0.07432093      0.07432093
    -18.89188919      0.08301445      0.08301445
    -18.88788879      0.09216789      0.09216789
    -18.88388839      0.10172005      0.10172005
    -18.87988799      0.11159729      0.11159729
    -18.87588759      0.12171445      0.12171445
    -18.87188719      0.13197605      0.13197605
    -18.86788679      0.14227809      0.14227809
    -18.86388639      0.15251007      0.15251007
    -18.85988599      0.16255740      0.16255740
    -18.85588559      0.17230408      0.17230408
    -18.85188519      0.18163543      0.18163543
    -18.84788479      0.19044097      0.19044097
    -18.84388439      0.19861713      0.19861713
    -18.83988399      0.20606983      0.20606983
    -18.83588359      0.21271684      0.21271684
    -18.83188319      0.21848968      0.21848968
    -18.82788279      0.22333513      0.22333513
    -18.82388239      0.22721632      0.22721632
    -18.81988199      0.23011326      0.23011326
    -18.81588159      0.23202287      0.23202287
    -18.81188119      0.23295862      0.23295862
    -18.80788079      0.23294967      0.23294967
    -18.80388039      0.23203972      0.23203972
    -18.79987999      0.23028557      0.23028557
    -18.79587959      0.22775546      0.22775546
    -18.79187919      0.22452741      0.22452741
    -18.78787879      0.22068741      0.22068741
    -18.78387839      0.21632769      0.21632769
    -18.77987799      0.21154518      0.21154518
    -18.77587759      0.20643991      0.20643991
    -18.77187719      0.20111369      0.20111369
    -18.76787679      0.19566886      0.19566886
    -18.76387639      0.19020710      0.19020710
    -18.75987599      0.18482841      0.18482841
    -18.75587559      0.17963001      0.17963001
    -18.75187519      0.17470524      0.17470524
    -18.74787479      0.17014248      0.17014248
    -18.74387439      0.16602388      0.16602388
    -18.73987399      0.16242406      0.16242406
    -18.73587359      0.15940865      0.15940865
    -18.73187319      0.15703285      0.15703285
    -18.72787279      0.15533986      0.15533986
    -18.72387239      0.15435944      0.15435944
    -18.71987199      0.15410650      0.15410650
    -18.71587159      0.15458002      0.15458002
    -18.71187119      0.15576216      0.15576216
    -18.70787079      0.15761780      0.15761780
    -18.70387039      0.16009466      0.16009466
    -18.69986999      0.16312380      0.16312380
    -18.69586959      0.16662090      0.16662090
    -18.69186919      0.17048803      0.17048803
    -18.68786879      0.17461607      0.17461607
    -18.68386839      0.17888768      0.17888768
    -18.67986799      0.18318078      0.18318078
    -18.67586759      0.18737233      0.18737233
    -18.67186719      0.19134242      0.19134242
    -18.66786679      0.19497833      0.19497833
    -18.66386639      0.19817862      0.19817862
    -18.65986599      0.20085680      0.20085680
    -18.65586559      0.20294467      0.20294467
    -18.65186519      0.20439499      0.20439499
    -18.64786479      0.20518340      0.20518340
    -18.64386439      0.20530956      0.20530956
    -18.63986399      0.20479723      0.20479723
    -18.63586359      0.20369354      0.20369354
    -18.63186319      0.20206721      0.20206721
    -18.62786279      0.20000592      0.20000592
    -18.62386239      0.19761285      0.19761285
    -18.61986199      0.19500258      0.19500258
    -18.61586159      0.19229649      0.19229649
    -18.61186119      0.18961777      0.18961777
    -18.60786079      0.18708640      0.18708640
    -18.60386039      0.18481414      0.18481414
    -18.59985999      0.18289989      0.18289989
    -18.59585959      0.18142549      0.18142549
    -18.59185919      0.18045221      0.18045221
    -18.58785879      0.18001804      0.18001804
    -18.58385839      0.18013591      0.18013591
    -18.57985799      0.18079290      0.18079290
    -18.57585759      0.18195050      0.18195050
    -18.57185719      0.18354590      0.18354590
    -18.56785679      0.18549415      0.18549415
    -18.56385639      0.18769133      0.18769133
    -18.55985599      0.19001833      0.19001833
    -18.55585559      0.19234530      0.19234530
    -18.55185519      0.19453646      0.19453646
    -18.54785479      0.19645511      0.19645511
    -18.54385439      0.19796865      0.19796865
    -18.53985399      0.19895345      0.19895345
    -18.53585359      0.19929927      0.19929927
    -18.53185319      0.19891323      0.19891323
    -18.52785279      0.19772302      0.19772302
    -18.52385239      0.19567943      0.19567943
    -18.51985199      0.19275802      0.19275802
    -18.51585159      0.18895986      0.18895986
