# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229390      0.18294297      0.18294297
    -13.62829350      0.18287624      0.18287624
    -13.62429310      0.18280635      0.18280635
    -13.62029270      0.18273328      0.18273328
    -13.61629230      0.18265699      0.18265699
    -13.61229190      0.18257748      0.18257748
    -13.60829150      0.18249472      0.18249472
    -13.60429110      0.18240868      0.18240868
    -13.60029070      0.18231936      0.18231936
    -13.59629030      0.18222672      0.18222672
    -13.59228990      0.18213076      0.18213076
    -13.58828950      0.18203145      0.18203145
    -13.58428910      0.18192878      0.18192878
    -13.58028870      0.18182274      0.18182274
    -13.57628830      0.18171329      0.18171329
    -13.57228790      0.18160044      0.18160044
    -13.56828750      0.18148417      0.18148417
    -13.56428710      0.18136445      0.18136445
    -13.56028670      0.18124129      0.18124129
    -13.55628630      0.18111466      0.18111466
    -13.55228590      0.18098456      0.18098456
    -13.54828550      0.18085097      0.18085097
    -13.54428510      0.18071389      0.18071389
    -13.54028470      0.18057330      0.18057330
    -13.53628430      0.18042919      0.18042919
    -13.53228390      0.18028156      0.18028156
    -13.52828350      0.18013041      0.18013041
    -13.52428310      0.17997572      0.17997572
    -13.52028270      0.17981748      0.17981748
    -13.51628230      0.17965571      0.17965571
    -13.51228190      0.17949038      0.17949038
    -13.50828150      0.17932150      0.17932150
    -13.50428110      0.17914906      0.17914906
    -13.50028070      0.17897306      0.17897306
    -13.49628030      0.17879351      0.17879351
    -13.49227990      0.17861040      0.17861040
    -13.48827950      0.17842374      0.17842374
    -13.48427910      0.17823351      0.17823351
    -13.48027870      0.17803974      0.17803974
    -13.47627830      0.17784242      0.17784242
    -13.47227790      0.17764155      0.17764155
    -13.46827750      0.17743714      0.17743714
    -13.46427710      0.17722921      0.17722921
    -13.46027670      0.17701774      0.17701774
    -13.45627630      0.17680276      0.17680276
    -13.45227590      0.17658427      0.17658427
    -13.44827550      0.17636228      0.17636228
    -13.44427510      0.17613680      0.17613680
    -13.44027470      0.17590784      0.17590784
    -13.43627430      0.17567542      0.17567542
    -13.43227390      0.17543955      0.17543955
    -13.42827350      0.17520024      0.17520024
    -13.42427310      0.17495750      0.17495750
    -13.42027270      0.17471136      0.17471136
    -13.41627230      0.17446183      0.17446183
    -13.41227190      0.17420893      0.17420893
    -13.40827150      0.17395268      0.17395268
    -13.40427110      0.17369309      0.17369309
    -13.40027070      0.17343019      0.17343019
    -13.39627030      0.17316400      0.17316400
    -13.39226990      0.17289454      0.17289454
    -13.38826950      0.17262183      0.17262183
    -13.38426910      0.17234590      0.17234590
    -13.38026870      0.17206678      0.17206678
    -13.37626830      0.17178448      0.17178448
    -13.37226790      0.17149904      0.17149904
