# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229395      0.18294297      0.18294297
    -13.62829355      0.18287624      0.18287624
    -13.62429315      0.18280635      0.18280635
    -13.62029275      0.18273328      0.18273328
    -13.61629235      0.18265699      0.18265699
    -13.61229195      0.18257748      0.18257748
    -13.60829155      0.18249472      0.18249472
    -13.60429115      0.18240868      0.18240868
    -13.60029075      0.18231936      0.18231936
    -13.59629035      0.18222672      0.18222672
    -13.59228995      0.18213076      0.18213076
    -13.58828955      0.18203145      0.18203145
    -13.58428915      0.18192879      0.18192879
    -13.58028875      0.18182274      0.18182274
    -13.57628835      0.18171330      0.18171330
    -13.57228795      0.18160044      0.18160044
    -13.56828755      0.18148417      0.18148417
    -13.56428715      0.18136446      0.18136446
    -13.56028675      0.18124129      0.18124129
    -13.55628635      0.18111466      0.18111466
    -13.55228595      0.18098456      0.18098456
    -13.54828555      0.18085097      0.18085097
    -13.54428515      0.18071389      0.18071389
    -13.54028475      0.18057330      0.18057330
    -13.53628435      0.18042919      0.18042919
    -13.53228395      0.18028157      0.18028157
    -13.52828355      0.18013041      0.18013041
    -13.52428315      0.17997572      0.17997572
    -13.52028275      0.17981749      0.17981749
    -13.51628235      0.17965571      0.17965571
    -13.51228195      0.17949038      0.17949038
    -13.50828155      0.17932150      0.17932150
    -13.50428115      0.17914906      0.17914906
    -13.50028075      0.17897307      0.17897307
    -13.49628035      0.17879351      0.17879351
    -13.49227995      0.17861040      0.17861040
    -13.48827955      0.17842374      0.17842374
    -13.48427915      0.17823352      0.17823352
    -13.48027875      0.17803974      0.17803974
    -13.47627835      0.17784242      0.17784242
    -13.47227795      0.17764155      0.17764155
    -13.46827755      0.17743715      0.17743715
    -13.46427715      0.17722921      0.17722921
    -13.46027675      0.17701774      0.17701774
    -13.45627635      0.17680276      0.17680276
    -13.45227595      0.17658427      0.17658427
    -13.44827555      0.17636228      0.17636228
    -13.44427515      0.17613680      0.17613680
    -13.44027475      0.17590784      0.17590784
    -13.43627435      0.17567542      0.17567542
    -13.43227395      0.17543955      0.17543955
    -13.42827355      0.17520024      0.17520024
    -13.42427315      0.17495751      0.17495751
    -13.42027275      0.17471137      0.17471137
    -13.41627235      0.17446184      0.17446184
    -13.41227195      0.17420894      0.17420894
    -13.40827155      0.17395268      0.17395268
    -13.40427115      0.17369309      0.17369309
    -13.40027075      0.17343019      0.17343019
    -13.39627035      0.17316400      0.17316400
    -13.39226995      0.17289454      0.17289454
    -13.38826955      0.17262184      0.17262184
    -13.38426915      0.17234591      0.17234591
    -13.38026875      0.17206678      0.17206678
    -13.37626835      0.17178449      0.17178449
    -13.37226795      0.17149905      0.17149905
    -13.36826755      0.17121049      0.17121049
    -13.36426715      0.17091885      0.17091885
    -13.36026675      0.17062415      0.17062415
    -13.35626635      0.17032642      0.17032642
    -13.35226595      0.17002569      0.17002569
    -13.34826555      0.16972200      0.16972200
    -13.34426515      0.16941538      0.16941538
    -13.34026475      0.16910586      0.16910586
    -13.33626435      0.16879348      0.16879348
    -13.33226395      0.16847827      0.16847827
    -13.32826355      0.16816027      0.16816027
    -13.32426315      0.16783952      0.16783952
    -13.32026275      0.16751605      0.16751605
    -13.31626235      0.16718990      0.16718990
    -13.31226195      0.16686112      0.16686112
    -13.30826155      0.16652974      0.16652974
    -13.30426115      0.16619580      0.16619580
    -13.30026075      0.16585936      0.16585936
    -13.29626035      0.16552044      0.16552044
    -13.29225995      0.16517909      0.16517909
    -13.28825955      0.16483537      0.16483537
    -13.28425915      0.16448930      0.16448930
    -13.28025875      0.16414095      0.16414095
    -13.27625835      0.16379035      0.16379035
    -13.27225795      0.16343755      0.16343755
    -13.26825755      0.16308261      0.16308261
    -13.26425715      0.16272557      0.16272557
    -13.26025675      0.16236647      0.16236647
    -13.25625635      0.16200538      0.16200538
    -13.25225595      0.16164233      0.16164233
    -13.24825555      0.16127739      0.16127739
    -13.24425515      0.16091060      0.16091060
    -13.24025475      0.16054202      0.16054202
    -13.23625435      0.16017170      0.16017170
    -13.23225395      0.15979970      0.15979970
    -13.22825355      0.15942606      0.15942606
    -13.22425315      0.15905085      0.15905085
    -13.22025275      0.15867412      0.15867412
    -13.21625235      0.15829592      0.15829592
    -13.21225195      0.15791632      0.15791632
    -13.20825155      0.15753538      0.15753538
    -13.20425115      0.15715314      0.15715314
    -13.20025075      0.15676966      0.15676966
    -13.19625035      0.15638502      0.15638502
    -13.19224995      0.15599926      0.15599926
    -13.18824955      0.15561244      0.15561244
    -13.18424915      0.15522464      0.15522464
    -13.18024875      0.15483590      0.15483590
    -13.17624835      0.15444628      0.15444628
    -13.17224795      0.15405586      0.15405586
    -13.16824755      0.15366469      0.15366469
    -13.16424715      0.15327283      0.15327283
    -13.16024675      0.15288035      0.15288035
    -13.15624635      0.15248731      0.15248731
    -13.15224595      0.15209378      0.15209378
    -13.14824555      0.15169981      0.15169981
    -13.14424515      0.15130547      0.15130547
    -13.14024475      0.15091083      0.15091083
    -13.13624435      0.15051594      0.15051594
    -13.13224395      0.15012088      0.15012088
    -13.12824354      0.14972571      0.14972571
    -13.12424314      0.14933049      0.14933049
    -13.12024274      0.14893529      0.14893529
    -13.11624234      0.14854018      0.14854018
    -13.11224194      0.14814522      0.14814522
    -13.10824154      0.14775047      0.14775047
    -13.10424114      0.14735601      0.14735601
    -13.10024074      0.14696190      0.14696190
    -13.09624034      0.14656820      0.14656820
    -13.09223994      0.14617498      0.14617498
    -13.08823954      0.14578230      0.14578230
    -13.08423914      0.14539024      0.14539024
    -13.08023874      0.14499886      0.14499886
    -13.07623834      0.14460823      0.14460823
    -13.07223794      0.14421840      0.14421840
    -13.06823754      0.14382946      0.14382946
    -13.06423714      0.14344146      0.14344146
    -13.06023674      0.14305447      0.14305447
    -13.05623634      0.14266856      0.14266856
    -13.05223594      0.14228378      0.14228378
    -13.04823554      0.14190022      0.14190022
    -13.04423514      0.14151793      0.14151793
    -13.04023474      0.14113698      0.14113698
    -13.03623434      0.14075744      0.14075744
    -13.03223394      0.14037936      0.14037936
    -13.02823354      0.14000282      0.14000282
    -13.02423314      0.13962788      0.13962788
    -13.02023274      0.13925460      0.13925460
    -13.01623234      0.13888305      0.13888305
    -13.01223194      0.13851330      0.13851330
    -13.00823154      0.13814540      0.13814540
    -13.00423114      0.13777941      0.13777941
    -13.00023074      0.13741542      0.13741542
    -12.99623034      0.13705346      0.13705346
    -12.99222994      0.13669362      0.13669362
    -12.98822954      0.13633594      0.13633594
    -12.98422914      0.13598049      0.13598049
    -12.98022874      0.13562734      0.13562734
    -12.97622834      0.13527654      0.13527654
    -12.97222794      0.13492816      0.13492816
    -12.96822754      0.13458224      0.13458224
    -12.96422714      0.13423887      0.13423887
    -12.96022674      0.13389808      0.13389808
    -12.95622634      0.13355994      0.13355994
    -12.95222594      0.13322452      0.13322452
    -12.94822554      0.13289186      0.13289186
    -12.94422514      0.13256202      0.13256202
    -12.94022474      0.13223506      0.13223506
    -12.93622434      0.13191104      0.13191104
    -12.93222394      0.13159001      0.13159001
    -12.92822354      0.13127203      0.13127203
    -12.92422314      0.13095714      0.13095714
    -12.92022274      0.13064541      0.13064541
    -12.91622234      0.13033688      0.13033688
    -12.91222194      0.13003162      0.13003162
    -12.90822154      0.12972966      0.12972966
    -12.90422114      0.12943107      0.12943107
    -12.90022074      0.12913588      0.12913588
    -12.89622034      0.12884416      0.12884416
    -12.89221994      0.12855595      0.12855595
    -12.88821954      0.12827129      0.12827129
    -12.88421914      0.12799024      0.12799024
    -12.88021874      0.12771285      0.12771285
    -12.87621834      0.12743915      0.12743915
    -12.87221794      0.12716919      0.12716919
    -12.86821754      0.12690303      0.12690303
    -12.86421714      0.12664069      0.12664069
    -12.86021674      0.12638223      0.12638223
    -12.85621634      0.12612768      0.12612768
    -12.85221594      0.12587710      0.12587710
    -12.84821554      0.12563051      0.12563051
    -12.84421514      0.12538796      0.12538796
    -12.84021474      0.12514948      0.12514948
    -12.83621434      0.12491513      0.12491513
    -12.83221394      0.12468492      0.12468492
    -12.82821354      0.12445890      0.12445890
    -12.82421314      0.12423711      0.12423711
    -12.82021274      0.12401957      0.12401957
    -12.81621234      0.12380633      0.12380633
    -12.81221194      0.12359741      0.12359741
    -12.80821154      0.12339284      0.12339284
    -12.80421114      0.12319267      0.12319267
    -12.80021074      0.12299691      0.12299691
    -12.79621034      0.12280560      0.12280560
    -12.79220994      0.12261877      0.12261877
    -12.78820954      0.12243644      0.12243644
    -12.78420914      0.12225863      0.12225863
    -12.78020874      0.12208539      0.12208539
    -12.77620834      0.12191672      0.12191672
    -12.77220794      0.12175265      0.12175265
    -12.76820754      0.12159322      0.12159322
    -12.76420714      0.12143842      0.12143842
    -12.76020674      0.12128830      0.12128830
    -12.75620634      0.12114287      0.12114287
    -12.75220594      0.12100214      0.12100214
    -12.74820554      0.12086614      0.12086614
    -12.74420514      0.12073488      0.12073488
    -12.74020474      0.12060839      0.12060839
    -12.73620434      0.12048666      0.12048666
    -12.73220394      0.12036972      0.12036972
    -12.72820354      0.12025759      0.12025759
    -12.72420314      0.12015027      0.12015027
    -12.72020274      0.12004777      0.12004777
    -12.71620234      0.11995011      0.11995011
    -12.71220194      0.11985729      0.11985729
    -12.70820154      0.11976933      0.11976933
    -12.70420114      0.11968622      0.11968622
    -12.70020074      0.11960799      0.11960799
    -12.69620034      0.11953463      0.11953463
    -12.69219994      0.11946614      0.11946614
    -12.68819954      0.11940254      0.11940254
    -12.68419914      0.11934382      0.11934382
    -12.68019874      0.11928999      0.11928999
    -12.67619834      0.11924104      0.11924104
    -12.67219794      0.11919698      0.11919698
    -12.66819754      0.11915781      0.11915781
    -12.66419714      0.11912352      0.11912352
    -12.66019674      0.11909411      0.11909411
    -12.65619634      0.11906958      0.11906958
    -12.65219594      0.11904992      0.11904992
    -12.64819554      0.11903513      0.11903513
    -12.64419514      0.11902520      0.11902520
    -12.64019474      0.11902012      0.11902012
    -12.63619434      0.11901989      0.11901989
    -12.63219394      0.11902450      0.11902450
    -12.62819354      0.11903393      0.11903393
    -12.62419314      0.11904817      0.11904817
    -12.62019274      0.11906722      0.11906722
    -12.61619234      0.11909106      0.11909106
    -12.61219194      0.11911968      0.11911968
    -12.60819154      0.11915306      0.11915306
    -12.60419114      0.11919119      0.11919119
    -12.60019074      0.11923405      0.11923405
    -12.59619034      0.11928163      0.11928163
    -12.59218994      0.11933390      0.11933390
    -12.58818954      0.11939085      0.11939085
    -12.58418914      0.11945247      0.11945247
    -12.58018874      0.11951872      0.11951872
    -12.57618834      0.11958959      0.11958959
    -12.57218794      0.11966506      0.11966506
    -12.56818754      0.11974511      0.11974511
    -12.56418714      0.11982971      0.11982971
    -12.56018674      0.11991884      0.11991884
    -12.55618634      0.12001247      0.12001247
    -12.55218594      0.12011058      0.12011058
    -12.54818554      0.12021315      0.12021315
    -12.54418514      0.12032014      0.12032014
    -12.54018474      0.12043153      0.12043153
    -12.53618434      0.12054730      0.12054730
    -12.53218394      0.12066741      0.12066741
    -12.52818354      0.12079183      0.12079183
    -12.52418314      0.12092053      0.12092053
    -12.52018274      0.12105349      0.12105349
    -12.51618234      0.12119068      0.12119068
    -12.51218194      0.12133205      0.12133205
    -12.50818154      0.12147759      0.12147759
    -12.50418114      0.12162724      0.12162724
    -12.50018074      0.12178100      0.12178100
    -12.49618034      0.12193881      0.12193881
    -12.49217994      0.12210064      0.12210064
    -12.48817954      0.12226647      0.12226647
    -12.48417914      0.12243624      0.12243624
    -12.48017874      0.12260994      0.12260994
    -12.47617834      0.12278752      0.12278752
    -12.47217794      0.12296894      0.12296894
    -12.46817754      0.12315417      0.12315417
    -12.46417714      0.12334317      0.12334317
    -12.46017674      0.12353589      0.12353589
    -12.45617634      0.12373232      0.12373232
    -12.45217594      0.12393239      0.12393239
    -12.44817554      0.12413608      0.12413608
    -12.44417514      0.12434334      0.12434334
    -12.44017474      0.12455413      0.12455413
    -12.43617434      0.12476842      0.12476842
    -12.43217394      0.12498616      0.12498616
    -12.42817354      0.12520731      0.12520731
    -12.42417314      0.12543183      0.12543183
    -12.42017274      0.12565968      0.12565968
    -12.41617234      0.12589081      0.12589081
    -12.41217194      0.12612518      0.12612518
    -12.40817154      0.12636276      0.12636276
    -12.40417114      0.12660349      0.12660349
    -12.40017074      0.12684734      0.12684734
    -12.39617034      0.12709425      0.12709425
    -12.39216994      0.12734420      0.12734420
    -12.38816954      0.12759712      0.12759712
    -12.38416914      0.12785299      0.12785299
    -12.38016874      0.12811175      0.12811175
    -12.37616834      0.12837336      0.12837336
    -12.37216794      0.12863778      0.12863778
    -12.36816754      0.12890496      0.12890496
    -12.36416714      0.12917485      0.12917485
    -12.36016674      0.12944742      0.12944742
    -12.35616634      0.12972262      0.12972262
    -12.35216594      0.13000040      0.13000040
    -12.34816554      0.13028072      0.13028072
    -12.34416514      0.13056353      0.13056353
    -12.34016474      0.13084878      0.13084878
    -12.33616434      0.13113644      0.13113644
    -12.33216394      0.13142646      0.13142646
    -12.32816354      0.13171878      0.13171878
    -12.32416314      0.13201338      0.13201338
    -12.32016274      0.13231019      0.13231019
    -12.31616234      0.13260918      0.13260918
    -12.31216194      0.13291030      0.13291030
    -12.30816154      0.13321351      0.13321351
    -12.30416114      0.13351876      0.13351876
    -12.30016074      0.13382601      0.13382601
    -12.29616034      0.13413520      0.13413520
    -12.29215994      0.13444630      0.13444630
    -12.28815954      0.13475927      0.13475927
    -12.28415914      0.13507405      0.13507405
    -12.28015874      0.13539060      0.13539060
    -12.27615834      0.13570888      0.13570888
    -12.27215794      0.13602884      0.13602884
    -12.26815754      0.13635045      0.13635045
    -12.26415714      0.13667365      0.13667365
    -12.26015674      0.13699840      0.13699840
    -12.25615634      0.13732465      0.13732465
    -12.25215594      0.13765238      0.13765238
    -12.24815554      0.13798152      0.13798152
    -12.24415514      0.13831204      0.13831204
    -12.24015474      0.13864389      0.13864389
    -12.23615434      0.13897704      0.13897704
    -12.23215394      0.13931144      0.13931144
    -12.22815354      0.13964704      0.13964704
    -12.22415314      0.13998380      0.13998380
    -12.22015274      0.14032169      0.14032169
    -12.21615234      0.14066067      0.14066067
