# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229390      0.19672234      0.19672234
    -13.62829350      0.19750247      0.19750247
    -13.62429310      0.19829309      0.19829309
    -13.62029270      0.19909258      0.19909258
    -13.61629230      0.19989929      0.19989929
    -13.61229190      0.20071148      0.20071148
    -13.60829150      0.20152740      0.20152740
    -13.60429110      0.20234525      0.20234525
    -13.60029070      0.20316320      0.20316320
    -13.59629030      0.20397940      0.20397940
    -13.59228990      0.20479195      0.20479195
    -13.58828950      0.20559897      0.20559897
    -13.58428910      0.20639855      0.20639855
    -13.58028870      0.20718877      0.20718877
    -13.57628830      0.20796771      0.20796771
    -13.57228790      0.20873347      0.20873347
    -13.56828750      0.20948414      0.20948414
    -13.56428710      0.21021785      0.21021785
    -13.56028670      0.21093272      0.21093272
    -13.55628630      0.21162692      0.21162692
    -13.55228590      0.21229865      0.21229865
    -13.54828550      0.21294615      0.21294615
    -13.54428510      0.21356768      0.21356768
    -13.54028470      0.21416158      0.21416158
    -13.53628430      0.21472622      0.21472622
    -13.53228390      0.21526003      0.21526003
    -13.52828350      0.21576151      0.21576151
    -13.52428310      0.21622923      0.21622923
    -13.52028270      0.21666182      0.21666182
    -13.51628230      0.21705799      0.21705799
    -13.51228190      0.21741652      0.21741652
    -13.50828150      0.21773628      0.21773628
    -13.50428110      0.21801624      0.21801624
    -13.50028070      0.21825543      0.21825543
    -13.49628030      0.21845299      0.21845299
    -13.49227990      0.21860814      0.21860814
    -13.48827950      0.21872022      0.21872022
    -13.48427910      0.21878865      0.21878865
    -13.48027870      0.21881294      0.21881294
    -13.47627830      0.21879273      0.21879273
    -13.47227790      0.21872774      0.21872774
    -13.46827750      0.21861781      0.21861781
    -13.46427710      0.21846285      0.21846285
    -13.46027670      0.21826291      0.21826291
    -13.45627630      0.21801813      0.21801813
    -13.45227590      0.21772875      0.21772875
    -13.44827550      0.21739511      0.21739511
    -13.44427510      0.21701766      0.21701766
    -13.44027470      0.21659694      0.21659694
    -13.43627430      0.21613360      0.21613360
    -13.43227390      0.21562836      0.21562836
    -13.42827350      0.21508206      0.21508206
    -13.42427310      0.21449562      0.21449562
    -13.42027270      0.21387004      0.21387004
    -13.41627230      0.21320642      0.21320642
    -13.41227190      0.21250593      0.21250593
    -13.40827150      0.21176981      0.21176981
    -13.40427110      0.21099940      0.21099940
    -13.40027070      0.21019607      0.21019607
    -13.39627030      0.20936129      0.20936129
    -13.39226990      0.20849657      0.20849657
    -13.38826950      0.20760348      0.20760348
    -13.38426910      0.20668364      0.20668364
    -13.38026870      0.20573872      0.20573872
    -13.37626830      0.20477042      0.20477042
    -13.37226790      0.20378049      0.20378049
    -13.36826750      0.20277068      0.20277068
    -13.36426710      0.20174280      0.20174280
    -13.36026670      0.20069865      0.20069865
    -13.35626630      0.19964005      0.19964005
    -13.35226590      0.19856882      0.19856882
    -13.34826550      0.19748681      0.19748681
    -13.34426510      0.19639582      0.19639582
    -13.34026470      0.19529767      0.19529767
    -13.33626430      0.19419415      0.19419415
    -13.33226390      0.19308704      0.19308704
    -13.32826350      0.19197806      0.19197806
    -13.32426310      0.19086894      0.19086894
    -13.32026270      0.18976133      0.18976133
    -13.31626230      0.18865687      0.18865687
    -13.31226190      0.18755712      0.18755712
    -13.30826150      0.18646360      0.18646360
    -13.30426110      0.18537777      0.18537777
    -13.30026070      0.18430102      0.18430102
    -13.29626030      0.18323468      0.18323468
    -13.29225990      0.18217999      0.18217999
    -13.28825950      0.18113814      0.18113814
    -13.28425910      0.18011021      0.18011021
    -13.28025870      0.17909722      0.17909722
    -13.27625830      0.17810008      0.17810008
    -13.27225790      0.17711963      0.17711963
    -13.26825750      0.17615661      0.17615661
    -13.26425710      0.17521165      0.17521165
    -13.26025670      0.17428531      0.17428531
    -13.25625630      0.17337804      0.17337804
    -13.25225590      0.17249019      0.17249019
    -13.24825550      0.17162201      0.17162201
    -13.24425510      0.17077365      0.17077365
    -13.24025470      0.16994515      0.16994515
    -13.23625430      0.16913649      0.16913649
    -13.23225390      0.16834749      0.16834749
    -13.22825350      0.16757793      0.16757793
    -13.22425310      0.16682746      0.16682746
    -13.22025270      0.16609564      0.16609564
    -13.21625230      0.16538195      0.16538195
    -13.21225190      0.16468578      0.16468578
    -13.20825150      0.16400642      0.16400642
    -13.20425110      0.16334309      0.16334309
    -13.20025070      0.16269493      0.16269493
    -13.19625030      0.16206100      0.16206100
    -13.19224990      0.16144030      0.16144030
    -13.18824950      0.16083176      0.16083176
    -13.18424910      0.16023425      0.16023425
    -13.18024870      0.15964658      0.15964658
    -13.17624830      0.15906753      0.15906753
    -13.17224790      0.15849580      0.15849580
    -13.16824750      0.15793010      0.15793010
    -13.16424710      0.15736907      0.15736907
    -13.16024670      0.15681135      0.15681135
    -13.15624630      0.15625555      0.15625555
    -13.15224590      0.15570027      0.15570027
    -13.14824550      0.15514411      0.15514411
    -13.14424510      0.15458568      0.15458568
    -13.14024470      0.15402357      0.15402357
    -13.13624430      0.15345643      0.15345643
    -13.13224390      0.15288289      0.15288289
    -13.12824350      0.15230164      0.15230164
    -13.12424310      0.15171138      0.15171138
    -13.12024270      0.15111088      0.15111088
    -13.11624230      0.15049895      0.15049895
    -13.11224190      0.14987443      0.14987443
    -13.10824150      0.14923626      0.14923626
    -13.10424110      0.14858343      0.14858343
    -13.10024070      0.14791499      0.14791499
    -13.09624030      0.14723008      0.14723008
    -13.09223990      0.14652792      0.14652792
    -13.08823950      0.14580783      0.14580783
    -13.08423910      0.14506919      0.14506919
    -13.08023870      0.14431149      0.14431149
    -13.07623830      0.14353433      0.14353433
    -13.07223790      0.14273739      0.14273739
    -13.06823750      0.14192047      0.14192047
    -13.06423710      0.14108345      0.14108345
    -13.06023670      0.14022634      0.14022634
    -13.05623630      0.13934925      0.13934925
    -13.05223590      0.13845239      0.13845239
    -13.04823550      0.13753608      0.13753608
    -13.04423510      0.13660074      0.13660074
    -13.04023470      0.13564692      0.13564692
    -13.03623430      0.13467525      0.13467525
    -13.03223390      0.13368647      0.13368647
    -13.02823350      0.13268142      0.13268142
    -13.02423310      0.13166102      0.13166102
    -13.02023270      0.13062631      0.13062631
    -13.01623230      0.12957841      0.12957841
    -13.01223190      0.12851850      0.12851850
    -13.00823150      0.12744788      0.12744788
    -13.00423110      0.12636790      0.12636790
    -13.00023070      0.12527997      0.12527997
    -12.99623030      0.12418559      0.12418559
    -12.99222990      0.12308629      0.12308629
    -12.98822950      0.12198367      0.12198367
    -12.98422910      0.12087936      0.12087936
    -12.98022870      0.11977504      0.11977504
    -12.97622830      0.11867240      0.11867240
    -12.97222790      0.11757317      0.11757317
    -12.96822750      0.11647909      0.11647909
    -12.96422710      0.11539189      0.11539189
    -12.96022670      0.11431333      0.11431333
    -12.95622630      0.11324513      0.11324513
    -12.95222590      0.11218901      0.11218901
    -12.94822550      0.11114667      0.11114667
    -12.94422510      0.11011976      0.11011976
    -12.94022470      0.10910992      0.10910992
    -12.93622430      0.10811871      0.10811871
    -12.93222390      0.10714766      0.10714766
    -12.92822350      0.10619824      0.10619824
    -12.92422310      0.10527185      0.10527185
    -12.92022270      0.10436980      0.10436980
    -12.91622230      0.10349335      0.10349335
    -12.91222190      0.10264365      0.10264365
    -12.90822150      0.10182179      0.10182179
    -12.90422110      0.10102873      0.10102873
    -12.90022070      0.10026537      0.10026537
    -12.89622030      0.09953248      0.09953248
    -12.89221990      0.09883072      0.09883072
    -12.88821950      0.09816068      0.09816068
    -12.88421910      0.09752280      0.09752280
    -12.88021870      0.09691742      0.09691742
    -12.87621830      0.09634477      0.09634477
    -12.87221790      0.09580496      0.09580496
    -12.86821750      0.09529799      0.09529799
    -12.86421710      0.09482374      0.09482374
    -12.86021670      0.09438197      0.09438197
    -12.85621630      0.09397235      0.09397235
    -12.85221590      0.09359442      0.09359442
    -12.84821550      0.09324761      0.09324761
    -12.84421510      0.09293125      0.09293125
    -12.84021470      0.09264457      0.09264457
    -12.83621430      0.09238669      0.09238669
    -12.83221390      0.09215666      0.09215666
    -12.82821350      0.09195341      0.09195341
    -12.82421310      0.09177581      0.09177581
    -12.82021270      0.09162264      0.09162264
    -12.81621230      0.09149261      0.09149261
    -12.81221190      0.09138436      0.09138436
    -12.80821150      0.09129647      0.09129647
    -12.80421110      0.09122748      0.09122748
    -12.80021070      0.09117586      0.09117586
    -12.79621030      0.09114007      0.09114007
    -12.79220990      0.09111852      0.09111852
    -12.78820950      0.09110960      0.09110960
    -12.78420910      0.09111168      0.09111168
    -12.78020870      0.09112313      0.09112313
    -12.77620830      0.09114232      0.09114232
    -12.77220790      0.09116762      0.09116762
    -12.76820750      0.09119743      0.09119743
    -12.76420710      0.09123015      0.09123015
    -12.76020670      0.09126424      0.09126424
    -12.75620630      0.09129817      0.09129817
    -12.75220590      0.09133048      0.09133048
    -12.74820550      0.09135974      0.09135974
    -12.74420509      0.09138460      0.09138460
    -12.74020469      0.09140376      0.09140376
    -12.73620429      0.09141600      0.09141600
    -12.73220389      0.09142018      0.09142018
    -12.72820349      0.09141524      0.09141524
    -12.72420309      0.09140021      0.09140021
    -12.72020269      0.09137420      0.09137420
    -12.71620229      0.09133644      0.09133644
    -12.71220189      0.09128625      0.09128625
    -12.70820149      0.09122305      0.09122305
    -12.70420109      0.09114638      0.09114638
    -12.70020069      0.09105588      0.09105588
    -12.69620029      0.09095130      0.09095130
    -12.69219989      0.09083251      0.09083251
    -12.68819949      0.09069948      0.09069948
    -12.68419909      0.09055232      0.09055232
    -12.68019869      0.09039124      0.09039124
    -12.67619829      0.09021654      0.09021654
    -12.67219789      0.09002866      0.09002866
    -12.66819749      0.08982815      0.08982815
    -12.66419709      0.08961566      0.08961566
    -12.66019669      0.08939193      0.08939193
    -12.65619629      0.08915783      0.08915783
    -12.65219589      0.08891431      0.08891431
    -12.64819549      0.08866241      0.08866241
    -12.64419509      0.08840327      0.08840327
    -12.64019469      0.08813811      0.08813811
    -12.63619429      0.08786823      0.08786823
    -12.63219389      0.08759500      0.08759500
    -12.62819349      0.08731986      0.08731986
    -12.62419309      0.08704431      0.08704431
    -12.62019269      0.08676992      0.08676992
    -12.61619229      0.08649827      0.08649827
    -12.61219189      0.08623101      0.08623101
    -12.60819149      0.08596983      0.08596983
    -12.60419109      0.08571642      0.08571642
    -12.60019069      0.08547251      0.08547251
    -12.59619029      0.08523983      0.08523983
    -12.59218989      0.08502013      0.08502013
    -12.58818949      0.08481514      0.08481514
    -12.58418909      0.08462658      0.08462658
    -12.58018869      0.08445617      0.08445617
    -12.57618829      0.08430558      0.08430558
    -12.57218789      0.08417648      0.08417648
    -12.56818749      0.08407046      0.08407046
    -12.56418709      0.08398910      0.08398910
    -12.56018669      0.08393391      0.08393391
    -12.55618629      0.08390635      0.08390635
    -12.55218589      0.08390781      0.08390781
    -12.54818549      0.08393959      0.08393959
    -12.54418509      0.08400296      0.08400296
    -12.54018469      0.08409907      0.08409907
    -12.53618429      0.08422899      0.08422899
    -12.53218389      0.08439371      0.08439371
    -12.52818349      0.08459413      0.08459413
    -12.52418309      0.08483103      0.08483103
    -12.52018269      0.08510511      0.08510511
    -12.51618229      0.08541695      0.08541695
    -12.51218189      0.08576704      0.08576704
    -12.50818149      0.08615574      0.08615574
    -12.50418109      0.08658333      0.08658333
    -12.50018069      0.08704994      0.08704994
    -12.49618029      0.08755563      0.08755563
    -12.49217989      0.08810031      0.08810031
    -12.48817949      0.08868382      0.08868382
    -12.48417909      0.08930584      0.08930584
    -12.48017869      0.08996598      0.08996598
    -12.47617829      0.09066374      0.09066374
    -12.47217789      0.09139848      0.09139848
    -12.46817749      0.09216949      0.09216949
    -12.46417709      0.09297595      0.09297595
    -12.46017669      0.09381694      0.09381694
    -12.45617629      0.09469145      0.09469145
    -12.45217589      0.09559837      0.09559837
    -12.44817549      0.09653651      0.09653651
    -12.44417509      0.09750460      0.09750460
    -12.44017469      0.09850130      0.09850130
    -12.43617429      0.09952518      0.09952518
    -12.43217389      0.10057475      0.10057475
    -12.42817349      0.10164847      0.10164847
    -12.42417309      0.10274474      0.10274474
    -12.42017269      0.10386189      0.10386189
    -12.41617229      0.10499823      0.10499823
    -12.41217189      0.10615203      0.10615203
    -12.40817149      0.10732152      0.10732152
    -12.40417109      0.10850489      0.10850489
    -12.40017069      0.10970035      0.10970035
    -12.39617029      0.11090605      0.11090605
    -12.39216989      0.11212016      0.11212016
    -12.38816949      0.11334086      0.11334086
    -12.38416909      0.11456630      0.11456630
    -12.38016869      0.11579466      0.11579466
    -12.37616829      0.11702414      0.11702414
    -12.37216789      0.11825296      0.11825296
    -12.36816749      0.11947935      0.11947935
    -12.36416709      0.12070160      0.12070160
    -12.36016669      0.12191802      0.12191802
    -12.35616629      0.12312697      0.12312697
    -12.35216589      0.12432685      0.12432685
    -12.34816549      0.12551611      0.12551611
    -12.34416509      0.12669328      0.12669328
    -12.34016469      0.12785691      0.12785691
    -12.33616429      0.12900565      0.12900565
    -12.33216389      0.13013820      0.13013820
    -12.32816349      0.13125331      0.13125331
    -12.32416309      0.13234985      0.13234985
    -12.32016269      0.13342672      0.13342672
    -12.31616229      0.13448291      0.13448291
    -12.31216189      0.13551749      0.13551749
    -12.30816149      0.13652962      0.13652962
    -12.30416109      0.13751851      0.13751851
    -12.30016069      0.13848348      0.13848348
    -12.29616029      0.13942392      0.13942392
    -12.29215989      0.14033929      0.14033929
    -12.28815949      0.14122915      0.14122915
    -12.28415909      0.14209313      0.14209313
    -12.28015869      0.14293093      0.14293093
    -12.27615829      0.14374234      0.14374234
    -12.27215789      0.14452723      0.14452723
    -12.26815749      0.14528554      0.14528554
    -12.26415709      0.14601726      0.14601726
    -12.26015669      0.14672250      0.14672250
    -12.25615629      0.14740138      0.14740138
    -12.25215589      0.14805413      0.14805413
    -12.24815549      0.14868103      0.14868103
    -12.24415509      0.14928241      0.14928241
    -12.24015469      0.14985866      0.14985866
    -12.23615429      0.15041024      0.15041024
    -12.23215389      0.15093763      0.15093763
    -12.22815349      0.15144139      0.15144139
    -12.22415309      0.15192209      0.15192209
    -12.22015269      0.15238038      0.15238038
    -12.21615229      0.15281691      0.15281691
    -12.21215189      0.15323237      0.15323237
    -12.20815149      0.15362750      0.15362750
    -12.20415109      0.15400305      0.15400305
    -12.20015069      0.15435979      0.15435979
    -12.19615029      0.15469850      0.15469850
    -12.19214989      0.15502000      0.15502000
    -12.18814949      0.15532511      0.15532511
    -12.18414909      0.15561465      0.15561465
    -12.18014869      0.15588945      0.15588945
    -12.17614829      0.15615035      0.15615035
    -12.17214789      0.15639818      0.15639818
    -12.16814749      0.15663377      0.15663377
    -12.16414709      0.15685794      0.15685794
    -12.16014669      0.15707150      0.15707150
    -12.15614629      0.15727525      0.15727525
    -12.15214589      0.15746999      0.15746999
    -12.14814549      0.15765646      0.15765646
    -12.14414509      0.15783544      0.15783544
    -12.14014469      0.15800764      0.15800764
    -12.13614429      0.15817378      0.15817378
    -12.13214389      0.15833454      0.15833454
    -12.12814349      0.15849057      0.15849057
    -12.12414309      0.15864251      0.15864251
    -12.12014269      0.15879096      0.15879096
    -12.11614229      0.15893650      0.15893650
    -12.11214189      0.15907967      0.15907967
    -12.10814149      0.15922098      0.15922098
    -12.10414109      0.15936092      0.15936092
    -12.10014069      0.15949993      0.15949993
    -12.09614029      0.15963845      0.15963845
    -12.09213989      0.15977684      0.15977684
    -12.08813949      0.15991548      0.15991548
    -12.08413909      0.16005469      0.16005469
    -12.08013869      0.16019475      0.16019475
    -12.07613829      0.16033592      0.16033592
    -12.07213789      0.16047845      0.16047845
    -12.06813749      0.16062252      0.16062252
    -12.06413709      0.16076832      0.16076832
    -12.06013669      0.16091597      0.16091597
    -12.05613629      0.16106560      0.16106560
    -12.05213589      0.16121729      0.16121729
    -12.04813549      0.16137110      0.16137110
    -12.04413509      0.16152707      0.16152707
    -12.04013469      0.16168522      0.16168522
    -12.03613429      0.16184554      0.16184554
    -12.03213389      0.16200799      0.16200799
