# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229381      0.20163852      0.20163852
    -13.62829341      0.20204953      0.20204953
    -13.62429301      0.20245137      0.20245137
    -13.62029261      0.20284379      0.20284379
    -13.61629221      0.20322658      0.20322658
    -13.61229181      0.20359959      0.20359959
    -13.60829141      0.20396265      0.20396265
    -13.60429101      0.20431564      0.20431564
    -13.60029061      0.20465847      0.20465847
    -13.59629021      0.20499107      0.20499107
    -13.59228981      0.20531338      0.20531338
    -13.58828941      0.20562538      0.20562538
    -13.58428901      0.20592704      0.20592704
    -13.58028861      0.20621837      0.20621837
    -13.57628821      0.20649940      0.20649940
    -13.57228781      0.20677014      0.20677014
    -13.56828741      0.20703065      0.20703065
    -13.56428701      0.20728095      0.20728095
    -13.56028661      0.20752111      0.20752111
    -13.55628621      0.20775118      0.20775118
    -13.55228581      0.20797122      0.20797122
    -13.54828541      0.20818127      0.20818127
    -13.54428501      0.20838140      0.20838140
    -13.54028461      0.20857163      0.20857163
    -13.53628421      0.20875200      0.20875200
    -13.53228381      0.20892254      0.20892254
    -13.52828341      0.20908326      0.20908326
    -13.52428301      0.20923415      0.20923415
    -13.52028261      0.20937519      0.20937519
    -13.51628221      0.20950635      0.20950635
    -13.51228181      0.20962757      0.20962757
    -13.50828141      0.20973876      0.20973876
    -13.50428101      0.20983983      0.20983983
    -13.50028061      0.20993065      0.20993065
    -13.49628021      0.21001107      0.21001107
    -13.49227981      0.21008091      0.21008091
    -13.48827941      0.21013998      0.21013998
    -13.48427901      0.21018804      0.21018804
    -13.48027861      0.21022484      0.21022484
    -13.47627821      0.21025010      0.21025010
    -13.47227781      0.21026351      0.21026351
    -13.46827741      0.21026474      0.21026474
    -13.46427701      0.21025342      0.21025342
    -13.46027661      0.21022918      0.21022918
    -13.45627621      0.21019160      0.21019160
    -13.45227581      0.21014026      0.21014026
    -13.44827541      0.21007469      0.21007469
    -13.44427501      0.20999443      0.20999443
    -13.44027461      0.20989899      0.20989899
    -13.43627421      0.20978786      0.20978786
    -13.43227381      0.20966051      0.20966051
    -13.42827341      0.20951641      0.20951641
    -13.42427301      0.20935502      0.20935502
    -13.42027261      0.20917578      0.20917578
    -13.41627221      0.20897813      0.20897813
    -13.41227181      0.20876152      0.20876152
    -13.40827141      0.20852539      0.20852539
    -13.40427101      0.20826917      0.20826917
    -13.40027061      0.20799232      0.20799232
    -13.39627021      0.20769430      0.20769430
