# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.17234954      0.17234954
    -19.99599960      0.16959599      0.16959599
    -19.99199920      0.16669260      0.16669260
    -19.98799880      0.16365723      0.16365723
    -19.98399840      0.16050841      0.16050841
    -19.97999800      0.15726522      0.15726522
    -19.97599760      0.15394715      0.15394715
    -19.97199720      0.15057402      0.15057402
    -19.96799680      0.14716582      0.14716582
    -19.96399640      0.14374266      0.14374266
    -19.95999600      0.14032459      0.14032459
    -19.95599560      0.13693155      0.13693155
    -19.95199520      0.13358321      0.13358321
    -19.94799480      0.13029894      0.13029894
    -19.94399440      0.12709763      0.12709763
    -19.93999400      0.12399769      0.12399769
    -19.93599360      0.12101690      0.12101690
    -19.93199320      0.11817238      0.11817238
    -19.92799280      0.11548049      0.11548049
    -19.92399240      0.11295679      0.11295679
    -19.91999200      0.11061598      0.11061598
    -19.91599160      0.10847185      0.10847185
    -19.91199120      0.10653723      0.10653723
    -19.90799080      0.10482401      0.10482401
    -19.90399040      0.10334303      0.10334303
    -19.89999000      0.10210414      0.10210414
    -19.89598960      0.10111613      0.10111613
    -19.89198920      0.10038678      0.10038678
    -19.88798880      0.09992279      0.09992279
    -19.88398840      0.09972985      0.09972985
    -19.87998800      0.09981260      0.09981260
    -19.87598760      0.10017468      0.10017468
    -19.87198720      0.10081872      0.10081872
    -19.86798680      0.10174638      0.10174638
    -19.86398640      0.10295835      0.10295835
    -19.85998600      0.10445441      0.10445441
    -19.85598560      0.10623343      0.10623343
    -19.85198520      0.10829340      0.10829340
    -19.84798480      0.11063149      0.11063149
    -19.84398440      0.11324406      0.11324406
    -19.83998400      0.11612670      0.11612670
    -19.83598360      0.11927426      0.11927426
    -19.83198320      0.12268089      0.12268089
    -19.82798280      0.12634008      0.12634008
    -19.82398240      0.13024470      0.13024470
    -19.81998200      0.13438700      0.13438700
    -19.81598160      0.13875872      0.13875872
    -19.81198120      0.14335102      0.14335102
    -19.80798080      0.14815463      0.14815463
    -19.80398040      0.15315981      0.15315981
    -19.79998000      0.15835638      0.15835638
    -19.79597960      0.16373382      0.16373382
    -19.79197920      0.16928124      0.16928124
    -19.78797880      0.17498743      0.17498743
    -19.78397840      0.18084092      0.18084092
    -19.77997800      0.18682996      0.18682996
    -19.77597760      0.19294259      0.19294259
    -19.77197720      0.19916667      0.19916667
    -19.76797680      0.20548989      0.20548989
