# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.17033975      0.17033975
    -19.99599960      0.17024611      0.17024611
    -19.99199920      0.17015136      0.17015136
    -19.98799880      0.17005551      0.17005551
    -19.98399840      0.16995856      0.16995856
    -19.97999800      0.16986051      0.16986051
    -19.97599760      0.16976136      0.16976136
    -19.97199720      0.16966111      0.16966111
    -19.96799680      0.16955976      0.16955976
    -19.96399640      0.16945732      0.16945732
    -19.95999600      0.16935378      0.16935378
    -19.95599560      0.16924915      0.16924915
    -19.95199520      0.16914342      0.16914342
    -19.94799480      0.16903661      0.16903661
    -19.94399440      0.16892871      0.16892871
    -19.93999400      0.16881973      0.16881973
    -19.93599360      0.16870966      0.16870966
    -19.93199320      0.16859851      0.16859851
    -19.92799280      0.16848628      0.16848628
    -19.92399240      0.16837298      0.16837298
    -19.91999200      0.16825861      0.16825861
    -19.91599160      0.16814316      0.16814316
    -19.91199120      0.16802665      0.16802665
    -19.90799080      0.16790908      0.16790908
    -19.90399040      0.16779044      0.16779044
    -19.89999000      0.16767075      0.16767075
    -19.89598960      0.16755001      0.16755001
    -19.89198920      0.16742822      0.16742822
    -19.88798880      0.16730539      0.16730539
    -19.88398840      0.16718152      0.16718152
    -19.87998800      0.16705661      0.16705661
    -19.87598760      0.16693067      0.16693067
    -19.87198720      0.16680371      0.16680371
    -19.86798680      0.16667573      0.16667573
    -19.86398640      0.16654673      0.16654673
    -19.85998600      0.16641672      0.16641672
    -19.85598560      0.16628571      0.16628571
    -19.85198520      0.16615370      0.16615370
    -19.84798480      0.16602069      0.16602069
    -19.84398440      0.16588671      0.16588671
    -19.83998400      0.16575174      0.16575174
    -19.83598360      0.16561579      0.16561579
    -19.83198320      0.16547888      0.16547888
    -19.82798280      0.16534102      0.16534102
    -19.82398240      0.16520219      0.16520219
    -19.81998200      0.16506242      0.16506242
    -19.81598160      0.16492172      0.16492172
    -19.81198120      0.16478008      0.16478008
    -19.80798080      0.16463752      0.16463752
    -19.80398040      0.16449404      0.16449404
    -19.79998000      0.16434966      0.16434966
    -19.79597960      0.16420437      0.16420437
    -19.79197920      0.16405820      0.16405820
    -19.78797880      0.16391115      0.16391115
    -19.78397840      0.16376322      0.16376322
    -19.77997800      0.16361443      0.16361443
